mtu,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,
addbrev_r,0,0.0253615,0,0,0,0.116193,0.00181803,0.133011,
addlong_r,0.00148256,0,0.00174832,0.00177856,0.00449592,0.0985404,0.000482759,0.213802,
addmagDist_r,0.0389608,0.0333044,0.00577325,0.00227707,0.0370156,0.0747948,0.0347375,0.101159,
addmagIsch_r,0.0697295,0.0324013,0.0351524,0,0.0202617,0,0.0371829,0.0589835,
addmagMid_r,0.0105029,0.00222401,0.0238219,0.00550137,0.0023518,0.180233,0.000268055,0.0800398,
addmagProx_r,0.011935,0.0494433,0.0079821,0.0076359,0.0184603,0.259831,0.0442122,0.186544,
bflh_r,0.0122352,0.0168493,0.031267,0.0806621,0.213922,0.00241275,0.0169891,0.27861,
bfsh_r,0.0122295,0.0168277,0.0312646,0.0806379,0.213944,0.00243072,0.0169856,0.27861,
edl_r,0,0.0406892,0.0625672,0.0194591,0.0578221,0,0.0737051,0.326158,
ehl_r,0.00659751,0.00276297,0.0100338,0.134236,0.111563,0,0.00254515,0.4848,
fdl_r,0.48698,0.133262,0.0699864,0.0865915,0.0573387,0.161945,0.0914343,0.0644829,
fhl_r,0.478903,0.117889,0.0466387,0.0596978,0.0223309,0.114183,0.0609996,0.0216124,
gaslat_r,0.421918,0,0.0101703,0.00338338,0.0483239,0.00546959,0.0603086,0,
gasmed_r,0.319731,0.053569,0.0620873,0.0381517,0.0571673,0.0476221,0.0583945,0.0395741,
glmax1_r,0.00608783,0.0182673,0.0186488,0.509416,0.0500194,0.0898293,0.00656902,0.147104,
glmax2_r,0,0.0197951,0.00799446,0.506247,0.0636974,0.0961523,0.0243894,0.142634,
glmax3_r,0.00589254,0.0182216,0.0186401,0.509439,0.0497991,0.0897972,0.00662868,0.147239,
glmed1_r,0.270203,0.00201403,0.00227606,0.0103085,0.0232217,0,0.00311508,0,
glmed2_r,0.337559,0.00441518,0,0.000655648,0.0872245,0.0356111,0.058813,0,
glmed3_r,0.287704,0.199266,0.284316,0.013977,0.112754,0.00572291,0.303979,0.130462,
glmin1_r,0.373885,0,0,0.0737436,0,0.0017589,0.00195871,0.00267512,
glmin2_r,0.302477,0,0,0.0164877,0.0171553,0,0.00987882,0,
glmin3_r,0.291611,0.0245786,0.0640019,0.0349023,0.0508616,0.00277655,0.0566418,0.000548108,
grac_r,0.0185147,0,0,0.00590361,0.00328208,0.0608171,0,0.132763,
iliacus_r,0.0333912,0.321587,0.23563,0.100593,0.174009,0.135626,0.304454,0.0122185,
perbrev_r,0.321489,0.0134282,0.0496086,0.184326,0.0453939,0.223435,0.0532171,0.077395,
perlong_r,0.410408,0.0255662,0.0206947,0.150147,0.0208641,0.123188,0.0269335,0.0169033,
piri_r,0.0722684,0.12731,0.0964353,0.0653897,0.102895,0.0690996,0.228263,0.0804922,
psoas_r,0.0415989,0.265599,0.22626,0.132798,0.23291,0.21442,0.236502,0.102084,
recfem_r,0.00477924,0,0.0179197,0,0,0.0220085,0.00628272,0.0780576,
sart_r,0.00477924,0,0.0179197,0,0,0.0220085,0.00628271,0.0780576,
semimem_r,0.0122278,0.0168296,0.0312648,0.0806363,0.213945,0.00243212,0.016987,0.278609,
semiten_r,0.0122393,0.01686,0.0312696,0.080676,0.21391,0.002402,0.0169875,0.278609,
soleus_r,0.416435,0.0137806,0,0.0720931,0,0.0496551,0,0,
tfl_r,0.00477924,0,0.0179197,0,0,0.0220085,0.00628271,0.0780576,
tibant_r,0,0,0.000342151,0.308783,0.209456,0.00330143,0,0.462379,
tibpost_r,0.399422,0.277366,0.0424234,0.0270597,0.0693228,0.186396,0.176099,0.0476042,
vasint_r,0.0526589,0.0529704,0.0133545,0.0528305,0.059185,0.0717073,0.0614587,0.0703812,
vaslat_r,0.0106664,0.0128549,0.013784,0.0340182,0.0258389,0.0118259,0.000809481,0.261939,
vasmed_r,0.0106664,0.0128549,0.013784,0.0340182,0.0258389,0.0118259,0.000809481,0.261939,
addbrev_l,0.0128548,0.00604855,0.051976,0.0144415,0.00477529,0.234813,0.0522393,0.00133959,
addlong_l,0.00338693,0,0.00453407,0.0567708,0.00566286,0.0206805,0,0.00245886,
addmagDist_l,0.0838578,0.0889074,0.102428,0,0.00383502,0,0.0991885,0.00221058,
addmagIsch_l,0.0751432,0.0823098,0.0793677,0.0148933,0.000837712,0.00724509,0.0636213,0.0209979,
addmagMid_l,0.0604022,0.0803744,0.045472,0.00140002,0.00424285,0.0310861,0.0698256,0.00283217,
