time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
0.14,0.0346613,1.24097e-05,0.0417444,0.0604868,1.20862e-05,0.00632793,0.0637138,0.0117461,0.00314997,0.0121039,0.0151315,0.0171024,0.000272043,0.000339784,0.009505,0.000687333,0.0120115,0.00297042,4.33722e-05,0,0.00680062,0.000195225,1.44617e-05,6.47429e-05,0.00413743,0.0346613,0.0183997,8.09525e-06,2.44141e-05,0.000361986,0.0102934,0.0346613,0.0346613,0.0015753,0.0120009,0,0.0346613,0.00641357,0.00346064,0.0053828,0.151186,0.000192235,0,2.07857e-05,0.00126834,0.000781972,8.26862e-06,0,0.0115939,0.0143857,0.0184871,0.0199639,3.86273e-06,2.51279e-06,1.35889e-05,0,1.55425e-07,0.000486722,4.83812e-05,0.000135974,0.112491,0.00755586,0.000144105,0,0.035223,0.151186,0.000111119,4.22466e-06,0.0140033,0,0.0245446,0.0346613,0.151186,2.43036e-06,0.00934649,0.00969097,0.151186,6.49091e-06,6.24619e-06,0.000170103,
0.145,0.0346613,3.12574e-05,0.149103,0.216169,4.64039e-05,0.0225849,0.227875,0.0413938,0.0113107,0.0432093,0.0506988,0.0588379,3.44076e-05,0.00111296,0.033952,0.00231278,0.0428893,0.000334769,0.000102583,6.55015e-08,0.0188789,3.42314e-05,2.66679e-06,0.000261736,0.0132277,0.0346613,0.0624244,5.06793e-07,8.9057e-06,0.000749294,0.0360531,0.0346613,0.0346613,0.00491483,0.0406252,1.86732e-06,0.0346613,0.022374,0.0117592,0.0187142,0.151186,0.000685012,0,5.48869e-07,0.00455481,0.00261618,1.99609e-06,0,0.0370613,0.0499506,0.0649289,0.0703584,4.20808e-09,0,9.63601e-06,1.76536e-06,3.89524e-08,5.45299e-05,0.00015498,0.000484074,0.396417,0.0265933,0.000487324,0,0.12431,0.151186,0.000399299,5.96549e-07,0.0499949,0,0.0245446,0.0346613,0.151186,0.000107285,0.0331369,0.0345879,0.151186,0.00011902,0.000253929,0.000643234,
0.15,0.0346613,6.36289e-05,0.0412336,0.0686501,0.0020174,0.00570419,0.0854747,0.0145888,0.0077914,0.0108606,0.0501559,0.0381329,0.0067618,0.0018432,0.0102494,0.00169548,0.0107793,0.0494094,0.000616084,4.96714e-06,0.0495308,0.00557586,0.000422979,0.00251042,0.0118773,0.0346613,0.0489895,0.000162001,0.00104801,0.00274266,0.0160744,0.0346613,0.0346613,0.0182962,0.0256006,0.000141603,0.0346613,0.00985472,0.0104153,0.0089584,0.151186,0.00094208,0,0.000358904,0.00344392,0.00324773,0.000277584,0,0.02837,0.0275554,0.02725,0.0291989,5.92815e-05,3.83564e-05,0.00093815,0.000133872,5.32633e-06,0.0115647,0.000301764,0.000127385,0.161912,0.00830921,0.000238414,0,0.0373666,0.151186,0.000291416,0.000109725,0.0126362,0,0.0245446,0.0346613,0.151186,0.00817278,0.00930702,0.00881169,0.151186,0.00912466,0.0193514,0.0117175,
0.155,0.0346613,7.27398e-05,0.0524547,0.0761356,0.000144128,0.00798293,0.0804199,0.0172687,0.00404588,0.0152276,0.0352174,0.0322022,0.00463984,0.000946075,0.0119962,0.00151811,0.0150708,0.0490983,0.00030942,8.39678e-08,0.0337384,0.00334191,0.000247726,0.000129974,0.0120993,0.0346613,0.0387994,0.000137406,0.000423854,0.00284991,0.0162714,0.0346613,0.0346613,0.00608086,0.0252241,2.39376e-06,0.0346613,0.010495,0.00730749,0.00911855,0.151186,0.000301482,0,0.000351845,0.0016485,0.00188228,0.000142244,0,0.0335774,0.024887,0.0283854,0.0296418,6.52601e-05,4.24497e-05,0.000241916,2.26305e-06,2.67559e-06,0.0082923,0.000151797,0.000176918,0.166977,0.0111703,0.000300037,0,0.0505833,0.151186,0.000142661,7.21337e-05,0.0176024,0,0.0245446,0.0346613,0.151186,0.000178588,0.0127604,0.012231,0.151186,0.000262228,0.000431037,0.000886582,
0.16,0.0427388,3.1897e-05,0.101294,0.147105,0.000103782,0.0153345,0.155443,0.0286081,0.00781777,0.0293298,0.0379925,0.0422669,0.000892341,0.000879507,0.0230962,0.00170424,0.0291059,0.00883672,0.000126029,1.84945e-07,0.0180403,0.000667303,4.98018e-05,0.000248176,0.0103143,0.0427388,0.0457605,2.50936e-05,9.65087e-05,0.000961814,0.0251899,0.0427388,0.0427388,0.00443712,0.0296098,5.27242e-06,0.0427388,0.0156884,0.00865145,0.0131919,0.156517,0.000494365,0,6.23069e-05,0.00315921,0.0019877,2.98055e-05,0,0.0287202,0.0353894,0.0451831,0.0487861,1.13028e-05,7.34497e-06,6.69284e-05,4.98454e-06,5.64294e-07,0.00157667,0.000126658,0.000329675,0.274799,0.0183623,0.000352986,0,0.0855515,0.156517,0.000276398,1.40332e-05,0.0339351,0,0.0312715,0.0427388,0.156517,0.000310026,0.0226801,0.0234871,0.156517,0.000355029,0.000735233,0.000841706,
0.165,0.0427388,3.73117e-05,0.151524,0.219558,3.08117e-05,0.0229635,0.231271,0.0422983,0.0114326,0.0439297,0.0527795,0.0606557,0.000411979,0.00116552,0.034496,0.00240732,0.0435998,0.00465654,0.000123737,0,0.0213227,0.000295648,2.19007e-05,0.000234005,0.014088,0.0427388,0.0647045,1.22594e-05,3.69725e-05,0.000990386,0.0369181,0.0427388,0.0427388,0.00519335,0.0421988,0,0.0427388,0.0229534,0.0121711,0.0192234,0.156517,0.000691286,0,3.14776e-05,0.00460137,0.00272053,1.25219e-05,0,0.0395108,0.0513124,0.0664171,0.0718609,5.84968e-06,3.80535e-06,2.0579e-05,0,2.35374e-07,0.000737087,0.0001637,0.000492711,0.404918,0.0271979,0.00050695,0,0.126989,0.156517,0.000403344,6.39778e-06,0.0508257,0,0.0312715,0.0427388,0.156517,3.68051e-06,0.0337864,0.0351671,0.156517,9.82978e-06,9.45918e-06,0.000551816,
0.17,0.0506719,3.66001e-05,0.16916,0.246185,0.000256068,0.0255626,0.260898,0.0470898,0.013323,0.0489041,0.0600359,0.0682003,0.000404122,0.00138366,0.0386068,0.00268246,0.0485451,0.00188843,0.000158034,5.95956e-07,0.0240638,0.000376804,2.91047e-05,0.00055332,0.0153132,0.0506719,0.0729114,7.32098e-06,8.92002e-05,0.000922452,0.0412785,0.0506719,0.0506719,0.00704517,0.046784,1.69895e-05,0.0506719,0.0255736,0.013861,0.0214406,0.161811,0.000852585,0,1.19521e-05,0.0053963,0.00316318,2.09292e-05,0,0.0424073,0.0575735,0.0742288,0.0804861,1.33138e-06,8.41188e-07,9.22209e-05,1.60619e-05,4.06433e-07,0.000659069,0.000195941,0.000547998,0.453205,0.0301339,0.000554094,0,0.140827,0.161811,0.000472093,6.84188e-06,0.0565927,0,0.0379078,0.0506719,0.161811,0.000976931,0.0375257,0.0391558,0.161811,0.00108506,0.00231243,0.00190655,
0.175,0.0506719,4.66493e-05,0.179171,0.261217,0.000384677,0.0270507,0.277513,0.0502597,0.0143566,0.0517445,0.0668693,0.074302,0.00115407,0.00158986,0.0409401,0.00295317,0.0513611,0.00854658,0.000219974,8.90473e-07,0.0299842,0.000957876,7.27379e-05,0.000714425,0.0172517,0.0506719,0.0802358,2.73123e-05,0.000182662,0.00131919,0.044329,0.0506719,0.0506719,0.00868878,0.0511864,2.53856e-05,0.0506719,0.0274905,0.0153091,0.0231116,0.161811,0.000946665,0,5.98994e-05,0.00583166,0.00355887,4.79961e-05,0,0.0475306,0.062286,0.0795534,0.0861505,9.80203e-06,6.33923e-06,0.00016528,2.39995e-05,9.21648e-07,0.00196921,0.000228808,0.000580638,0.484967,0.0321149,0.000602746,0,0.149876,0.161811,0.00050951,1.87678e-05,0.059882,0,0.0379078,0.0506719,0.161811,0.00146464,0.0398442,0.0414396,0.161811,0.00163441,0.00346785,0.00266633,
0.18,0.0584576,5.75515e-05,0.201161,0.284899,0.00411888,0.0278556,0.329058,0.0547669,0.018144,0.0615033,0.0685774,0.0856088,0.00161645,0.0015882,0.0529533,0.00392816,0.0527048,0.0227505,0.00297618,2.72789e-07,0.0486304,0.00194541,0.000473255,0.000418789,0.0196751,0.0584576,0.0926962,7.30769e-05,0.000164926,0.00675072,0.0493453,0.0584576,0.0584576,0.0089307,0.0547533,0.0053971,0.0584576,0.0490952,0.0395524,0.0527429,0.167065,0.049045,0.0142362,0.0136394,0.0194919,0.0228914,0.0325856,0.0782379,0.0520415,0.0726288,0.0902998,0.0904717,2.02436e-05,6.86935e-05,0.000111285,7.35206e-06,9.76056e-07,0.00433095,0.000226812,0.000596956,0.533457,0.0337138,0.000638757,0.0748842,0.221895,0.167065,0.000562824,2.46056e-05,0.134891,5.43111e-05,0.0444509,0.0584576,0.167065,0.000459527,0.0526812,0.0426239,0.167065,0.000923168,0.00109022,0.00138336,
0.185,0.0584576,5.27144e-05,0.213338,0.306809,0.00134097,0.0314782,0.33243,0.0589789,0.016984,0.0629123,0.0727664,0.0864036,0.000700452,0.00161391,0.0508972,0.00359379,0.0597093,0.00994401,0.00107866,0,0.0352486,0.000747001,0.000163009,0.000320676,0.0198305,0.0584576,0.092363,2.97331e-05,6.14293e-05,0.00306905,0.0518942,0.0584576,0.0584576,0.00757468,0.0584825,0.00176595,0.0584576,0.0382918,0.0245993,0.035858,0.167065,0.0167286,0.00466483,0.00448517,0.0108239,0.0100801,0.0106814,0.0256366,0.0546834,0.0733039,0.0939112,0.0992716,9.71917e-06,2.45203e-05,3.41917e-05,0,3.9107e-07,0.00173429,0.000226675,0.000674939,0.567174,0.0374487,0.000697632,0.0245377,0.196045,0.167065,0.000573581,1.06298e-05,0.093671,1.77964e-05,0.0444509,0.0584576,0.167065,6.11513e-06,0.0501054,0.0481939,0.167065,0.000145274,1.57163e-05,0.000769423,
