time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
0.14,0.902729,0.813482,0.856892,0.951342,0.758882,0.774228,1.29172,1.16084,0.6946,0.940247,1.2765,1.26051,1.14877,0.69696,1.26531,1.27542,1.13139,1.17558,1.04198,1.13205,1.20161,1.23596,1.32207,1.0868,1.20729,1.18064,1.20182,1.08198,0.978523,0.885446,1.04497,1.19831,1.14979,1.02623,1.25066,0.786976,1.14978,1.06016,1.05801,1.08696,0.968079,1.15433,0.734981,0.693619,0.642938,0.752763,0.873666,1.26961,1.222,1.2524,1.31503,1.10597,1.10269,1.13497,0.982787,0.968967,0.832648,1.08523,1.01184,1.02244,1.22306,1.23062,1.33729,1.20821,1.32786,1.10024,0.963654,1.18011,1.10738,1.18797,1.25915,0.905003,0.978937,1.0808,1.41106,1.05392,1.26433,0.9229,1.08366,1.01477,
0.145,0.902259,0.813482,0.854562,0.944609,0.758882,0.774114,1.28519,1.16046,0.69404,0.935908,1.2715,1.25859,1.14873,0.69681,1.26501,1.2754,1.1308,1.17562,1.04198,1.13205,1.20156,1.23596,1.32207,1.08679,1.20717,1.18063,1.1989,1.08198,0.978522,0.885159,1.0448,1.19832,1.14981,1.02548,1.24985,0.786976,1.146,1.05874,1.0573,1.08592,0.967094,1.15432,0.734981,0.693619,0.642909,0.752728,0.873666,1.26961,1.2191,1.25125,1.31356,1.10399,1.10269,1.13497,0.982768,0.968967,0.832648,1.08525,1.01183,1.02243,1.22117,1.23052,1.33728,1.20821,1.32471,1.10024,0.963518,1.18011,1.10403,1.18797,1.25916,0.901552,0.976007,1.08077,1.40987,1.05125,1.26073,0.9229,1.08365,1.01473,
0.15,0.899302,0.810907,0.853856,0.944641,0.756422,0.772233,1.28294,1.15647,0.694335,0.937406,1.27067,1.25685,1.14263,0.693856,1.26608,1.27648,1.13098,1.17722,1.04431,1.13501,1.20294,1.23867,1.32747,1.08414,1.2071,1.17866,1.1948,1.08633,0.978412,0.887728,1.04128,1.19368,1.1456,1.01894,1.25116,0.790644,1.14212,1.06235,1.06064,1.08944,0.97179,1.1608,0.737299,0.694076,0.646742,0.757099,0.872615,1.26805,1.21998,1.25164,1.31171,1.10194,1.10027,1.1314,0.980221,0.966837,0.835605,1.08,1.00745,1.01838,1.21678,1.21755,1.32763,1.20992,1.32603,1.10052,0.963405,1.17614,1.10585,1.19008,1.25833,0.895978,0.972157,1.07659,1.40897,1.05296,1.25645,0.922969,1.08477,1.01581,
0.155,0.895579,0.806863,0.852555,0.945082,0.753309,0.769373,1.28029,1.15198,0.695287,0.941628,1.27155,1.25542,1.13405,0.672916,1.26718,1.27764,1.13093,1.17904,1.04715,1.13851,1.20462,1.24198,1.33349,1.08014,1.20709,1.17547,1.19035,1.09238,0.978059,0.893577,1.04218,1.18597,1.13992,1.01744,1.25357,0.794661,1.13863,1.06783,1.06561,1.09442,0.978708,1.16804,0.740148,0.694616,0.651694,0.76293,0.870819,1.26633,1.22175,1.25288,1.30989,1.10005,1.09668,1.12605,0.976598,0.964138,0.839275,1.07326,1.00018,1.01199,1.20259,1.2172,1.31824,1.21175,1.32772,1.10097,0.963373,1.17093,1.10852,1.19296,1.25741,0.889351,0.968447,1.07355,1.4073,1.05663,1.25209,0.92496,1.08717,1.01808,
0.16,0.89153,0.802599,0.848266,0.941647,0.749863,0.766199,1.27402,1.14741,0.696672,0.94355,1.27314,1.25432,1.12443,0.654088,1.26807,1.27875,1.13036,1.18177,1.05012,1.14208,1.20653,1.24554,1.33963,1.07554,1.20717,1.17095,1.18575,1.09907,0.9776,0.901508,1.04099,1.17566,1.1335,1.01401,1.25664,0.80055,1.13561,1.07292,1.07085,1.09911,0.986295,1.17545,0.743294,0.695627,0.657155,0.769195,0.868482,1.26453,1.2248,1.2548,1.30814,1.09805,1.09241,1.1196,0.972927,0.96137,0.843486,1.06532,0.99263,1.00523,1.20628,1.21073,1.3088,1.21355,1.32723,1.10131,0.963348,1.16531,1.1085,1.19617,1.25635,0.881967,0.964873,1.06965,1.40488,1.05901,1.24778,0.927951,1.09034,1.02099,
0.165,0.887226,0.798307,0.846432,0.937716,0.746248,0.762816,1.26652,1.14287,0.698292,0.944406,1.27318,1.25349,1.1144,0.635952,1.26882,1.27977,1.12949,1.18496,1.05314,1.14566,1.20866,1.24921,1.34585,1.07075,1.20737,1.16618,1.18114,1.10595,0.9771,0.910607,1.03999,1.16458,1.12725,1.00401,1.26,0.807192,1.13314,1.0773,1.07568,1.10325,0.993967,1.18292,0.746575,0.696917,0.662726,0.775535,0.865923,1.26261,1.22713,1.25725,1.30646,1.09549,1.08758,1.11227,0.969311,0.958651,0.847817,1.05714,0.984958,0.998427,1.19781,1.20453,1.29902,1.21524,1.32645,1.10162,0.963282,1.1595,1.10825,1.19954,1.25527,0.874056,0.961481,1.06476,1.40218,1.06073,1.24361,0.931388,1.09382,1.02422,
0.17,0.882706,0.794013,0.843358,0.933802,0.742475,0.759256,1.25887,1.1384,0.699999,0.945611,1.27333,1.25288,1.10427,0.61842,1.26955,1.28067,1.12853,1.18834,1.05622,1.14925,1.21106,1.25304,1.35216,1.06588,1.20771,1.16099,1.17658,1.11285,0.976609,0.92033,1.03895,1.15281,1.12075,0.99493,1.26354,0.814008,1.13122,1.0817,1.08033,1.10736,1.00169,1.19039,0.749926,0.698375,0.668301,0.78185,0.863282,1.26053,1.22987,1.26017,1.30482,1.09242,1.08215,1.10405,0.965773,0.956033,0.852213,1.0486,0.977208,0.991576,1.19306,1.19805,1.28879,1.21679,1.32601,1.10169,0.963162,1.15354,1.10831,1.20308,1.25404,0.865753,0.958273,1.05897,1.3996,1.0631,1.23963,0.934992,1.09729,1.02758,
0.175,0.878025,0.789724,0.840551,0.930093,0.738527,0.755513,1.2512,1.13402,0.701683,0.947187,1.27344,1.25244,1.09413,0.601602,1.27022,1.28142,1.12738,1.19168,1.05934,1.15285,1.21376,1.25706,1.3586,1.06098,1.20822,1.15601,1.17211,1.11968,0.976152,0.930372,1.03806,1.14097,1.11445,0.986409,1.26724,0.820705,1.12987,1.08617,1.08484,1.11146,1.00938,1.19778,0.753314,0.699942,0.673834,0.788091,0.860591,1.25827,1.23283,1.26355,1.30319,1.08898,1.07596,1.09474,0.962334,0.953552,0.856657,1.04001,0.969391,0.984675,1.1853,1.1914,1.27822,1.21815,1.32573,1.10161,0.962979,1.14744,1.10867,1.20679,1.25277,0.85712,0.955233,1.05339,1.39709,1.06637,1.23589,0.938779,1.1008,1.03108,
0.18,0.873213,0.785449,0.837538,0.926379,0.734389,0.751584,1.24309,1.12976,0.703258,0.94839,1.27393,1.2521,1.08425,0.585633,1.27068,1.28198,1.12597,1.19485,1.06248,1.15645,1.21675,1.2613,1.3652,1.05607,1.20892,1.15098,1.16773,1.12641,0.975746,0.940542,1.03725,1.12871,1.10792,0.978456,1.27113,0.826006,1.12909,1.08887,1.08713,1.11327,1.01691,1.20491,0.756482,0.700897,0.679281,0.794211,0.857844,1.2533,1.23616,1.26739,1.30156,1.0853,1.06887,1.08392,0.959013,0.951237,0.861131,1.03139,0.961514,0.977726,1.18045,1.18464,1.26739,1.21702,1.32448,1.10118,0.962729,1.14116,1.10593,1.21069,1.25133,0.848166,0.952331,1.04906,1.39423,1.07069,1.2324,0.942911,1.1047,1.03489,
0.185,0.868285,0.781202,0.834452,0.922609,0.730089,0.747469,1.23512,1.12564,0.704669,0.949907,1.27453,1.25184,1.07519,0.570649,1.27109,1.28236,1.12411,1.19836,1.06568,1.16004,1.22001,1.2658,1.37201,1.05116,1.20983,1.14631,1.16348,1.13301,0.975398,0.950745,1.03655,1.11642,1.10161,0.971138,1.27526,0.832102,1.12885,1.093,1.09118,1.11703,1.02433,1.21181,0.759848,0.70266,0.684622,0.800189,0.85446,1.25135,1.24008,1.27171,1.29992,1.08141,1.06196,1.07416,0.955838,0.949113,0.865616,1.02273,0.953589,0.970738,1.17294,1.1774,1.25632,1.21813,1.32413,1.10049,0.962439,1.1347,1.10632,1.21483,1.24981,0.838861,0.949528,1.0447,1.39165,1.07567,1.22918,0.947462,1.10902,1.03905,
