time,synergy1,synergy2,synergy3,synergy4,
0.14,0.196354,0.00289566,0,0,
0.145,0.701112,0,0,0.000791469,
0.15,0.175566,0.0442006,0,0.0600191,
0.155,0.246355,0.0489176,0,0.0010146,
0.16,0.475777,0.0084641,0,0.00223473,
0.165,0.712736,0.00438516,0,0,
0.17,0.793501,0.000969357,0,0.00720107,
0.175,0.839496,0.00730511,0,0.0107598,
0.18,0.861541,0.0151622,0.0782379,0.00329617,
0.185,0.976081,0.00728588,0.0256366,0,
0.19,0.734558,0,0.168092,0.0454406,
0.195,0.873397,0,0.141279,0.00681716,
0.2,0.616811,0,0.19481,0.101534,
0.205,0.904451,0.00313503,0.381909,0,
0.21,0.367925,0,0.261118,0.260622,
0.215,0.901576,0.0035405,0.531737,0,
0.22,0.347128,0,0.387999,0.254249,
0.225,0.857788,0,0.555803,0,
0.23,0.307049,0.00430432,0.401518,0.33435,
0.235,0.784497,0,0.69985,0,
0.24,0.241398,0.103949,0.315645,0.261151,
0.245,0.79523,0,0.758162,0,
0.25,0.302896,0.166252,0.318873,0.20015,
0.255,0.798995,0,0.87251,0,
0.26,0.382822,0.261326,0.362196,0.0858161,
0.265,1,0,0.921589,0,
0.27,0.417119,0.326779,0.496836,0,
0.275,0.880707,0.0467057,0.949337,0.00282122,
0.28,0.341018,0.376238,0.633699,0,
0.285,0.801524,0.0765758,0.974524,0.000710184,
0.29,0.350272,0.37322,0.720952,0,
0.295,0.712756,0.127845,1,0,
0.3,0.199456,0.457488,0.680802,0,
0.305,0.722686,0.175341,0.940895,0,
0.31,0.123641,0.497287,0.693778,0,
0.315,0.646047,0.218946,0.968786,0,
0.32,0.0632278,0.537334,0.674851,0,
0.325,0.612419,0.265754,0.920505,0.001894,
0.33,0.0506839,0.553359,0.653803,0,
0.335,0.513366,0.311986,0.969778,0,
0.34,0.0513448,0.567162,0.651882,0,
0.345,0.497805,0.331881,0.964643,0,
0.35,0.0545593,0.581527,0.653653,0,
0.355,0.480279,0.34921,0.960959,0,
0.36,0.105668,0.57163,0.599327,0,
0.365,0.489551,0.360434,0.941298,0,
0.37,0.163144,0.573991,0.483076,0,
0.375,0.448293,0.378476,0.88503,0,
0.38,0.34465,0.512153,0.500659,0,
0.385,0.499697,0.369135,0.870217,0,
0.39,0.317625,0.545362,0.439461,0.000771074,
0.395,0.836234,0.295921,0.671781,0,
0.4,0.255845,0.561032,0.48736,0.0172085,
0.405,0.844191,0.299466,0.614993,0,
0.41,0.28205,0.491987,0.401089,0.113815,
0.415,0.85719,0.326342,0.503668,0,
0.42,0.419332,0.382831,0.331402,0.21913,
0.425,0.562102,0.214405,0.521037,0.179653,
0.43,0.498316,0.370094,0.302134,0.168772,
0.435,0.770088,0.247502,0.320894,0.136391,
0.44,0.495067,0.277519,0.280895,0.335303,
0.445,0.754773,0.236481,0.249442,0.175885,
0.45,0.366126,0.106447,0.163363,0.648111,
0.455,0.833084,0.314514,0.137944,0.040254,
0.46,0.39838,0.0332325,0.127398,0.739239,
0.465,0.882725,0.354827,0.128969,0,
0.47,0.536031,0.124453,0.0670166,0.620745,
0.475,0.871772,0.409051,0.0454711,0.00659485,
0.48,0.702321,0.339823,0.0159137,0.239224,
0.485,0.737216,0.476959,0.0110429,0,
0.49,0.642331,0.286794,0.00475355,0.324797,
0.495,0.747291,0.461865,0,0,
0.5,0.621957,0.374765,0,0.275933,
0.505,0.642472,0.452388,0,0.0665694,
0.51,0.453159,0.463383,0,0.224863,
0.515,0.541368,0.4634,0,0.119073,
0.52,0.423642,0.493099,0,0.231056,
0.525,0.434385,0.464488,0,0.174335,
0.53,0.267474,0.512394,0,0.269443,
0.535,0.311045,0.468229,0,0.229417,
0.54,0.195779,0.498383,0,0.345578,
0.545,0.290316,0.460357,0,0.252866,
0.55,0.0185734,0.379005,0,0.511763,
0.555,0.188404,0.50826,0.0184317,0.252737,
0.56,0.0261288,0.664914,0.331773,0.186471,
0.565,0.0818273,0.500511,0,0.313917,
0.57,0,0.324539,0.0358584,0.573003,
0.575,0.0163636,0.206485,0.111793,0.635711,
0.58,0.0533428,0.399685,0.450968,0.460117,
0.585,0.00819675,0.373785,0.102588,0.43057,
0.59,0.00647456,0.579754,0.130641,0.29255,
0.595,0.0141722,0.700104,0.496139,0.120817,
0.6,0.0298477,0.33716,0.0534586,0.429815,
0.605,0.304742,0.705189,0.0722008,0.042112,
0.61,0.0231753,0.904858,0.046524,0.0243472,
0.615,0,0.656497,0.00946721,0.16314,
0.62,0,0.889023,0.000935359,0.0530994,
0.625,0.0121682,0.500565,0.00661765,0.344436,
0.63,0,0.971453,0.0125121,0,
0.635,0,0.548176,0,0.310618,
0.64,0.00240049,0.536591,0.0118677,0.360372,
0.645,0,1,0.0321396,0.00887303,
0.65,0,0.939912,0,0.0214088,
0.655,0.00340718,0.352039,0,0.527101,
0.66,0,0.943386,0.000847944,0.00230144,
0.665,0,0.802633,0.000105246,0.204508,
0.67,0,0.6755,0,0.236595,
0.675,0.0096594,0.773264,0.0143847,0.139548,
0.68,0.0160635,0.421606,0,0.501344,
0.685,0.0046846,0.921532,0,0.0964789,
0.69,0.273265,0,0.31485,0.66541,
0.695,0,0.438956,0,0.50489,
0.7,0.0110224,0.0507539,0.00376423,0.817118,
0.705,0,0.298155,0,0.665362,
0.71,0,0.0675759,0.00161892,0.846188,
0.715,0,0,0,0.948828,
0.72,0.00973216,0,0.00270732,1,
0.725,0.0444708,0.0279883,0,0.93132,
0.73,0,0,0,0.967968,
0.735,0.0326469,0.0148464,0.00127706,0.946426,
