time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
1.385,0.600989,0.787865,0.392407,0.656981,0.0761388,0.0907307,0.469715,0.223342,0.0142515,0.140306,0.0871979,0.0909881,0.109136,0.108621,0.156667,0.305584,0.304416,0.128798,0.0828762,0.0784045,0.00152283,0.00283056,0.00822848,0.921604,8.7891e-05,0.176818,0.0864226,0.00187243,0.0507813,0.174795,0.694944,0.463344,0.325895,0.0853959,0.0824314,0.075525,0.0871602,0.000916048,0.0428691,0.0422728,0.223343,0.0163441,0.682001,1,0.687784,0.0595202,0.0350446,0.0193873,0.297898,0.130786,0.009704,0.0131816,0.0113171,0.419224,0.023196,0.0181758,0.0180179,0.0474601,0.0569022,0.0456714,0.0270326,0.0146499,0.00809603,0.00702715,0.00250547,0.0041626,0.00592647,0.0083609,0.000653681,0.0453168,0.0235558,0.0333365,0.0346251,0.00930071,0.0320378,0.215547,0.0175423,0.142217,0.0254029,0.00875028,
1.39,0.675316,0.757274,0.420759,0.624836,0.10601,0.127146,0.467137,0.219637,0.0146709,0.138086,0.0816618,0.117403,0.108741,0.105048,0.19061,0.394333,0.392187,0.165425,0.0800739,0.0765562,0.00212497,0.00392866,0.0106452,0.905053,4.12748e-05,0.176518,0.0841449,0.00257636,0.0480334,0.171144,0.666432,0.461819,0.321488,0.0789004,0.0804263,0.0788344,0.0881394,0.000203042,0.0430479,0.0426902,0.261617,0.0151058,0.918384,1,0.714509,0.060274,0.0497704,0.0188231,0.268666,0.160736,0.0142123,0.0184737,0.0248369,0.464667,0.028939,0.0190128,0.018777,0.0476985,0.0569415,0.0447174,0.0366706,0.0187109,0.00802069,0.0068224,0.0038637,0.00895336,0.0101398,0.00759602,0.00112119,0.0438881,0.0447454,0.0451348,0.0492304,0.0177441,0.0311716,0.193584,0.021184,0.128435,0.0253742,0.0085885,
1.395,0.705235,0.717,0.431626,0.589966,0.131708,0.158748,0.46659,0.218306,0.0138457,0.129058,0.0875368,0.135623,0.106113,0.101461,0.208164,0.45811,0.454951,0.189252,0.0775698,0.0756618,0.00263665,0.00485124,0.0123345,0.893914,5.68135e-05,0.16599,0.0871917,0.0104791,0.0437634,0.169434,0.724295,0.461574,0.320006,0.0757376,0.0794104,0.075428,0.0891017,0.000748855,0.0425113,0.0426902,0.27468,0.0169442,1,1,0.690794,0.0578928,0.0628365,0.018481,0.258391,0.177261,0.0630843,0.077455,0.153294,0.469264,0.0321982,0.0183732,0.018109,0.0476389,0.0541501,0.0443596,0.0464367,0.0252926,0.0097839,0.00805634,0.0182945,0.0550302,0.0528753,0.00726369,0.00593553,0.0421355,0.243341,0.0543645,0.0622558,0.100772,0.0306641,0.185374,0.0693698,0.121625,0.0242826,0.00852675,
1.4,0.713905,0.731319,0.422341,0.615532,0.153172,0.18563,0.466504,0.217975,0.0131353,0.124946,0.0866771,0.147081,0.102269,0.0994631,0.214922,0.504249,0.500092,0.203426,0.076258,0.0753637,0.00306632,0.00562057,0.013395,0.895007,2.33081e-05,0.159956,0.084573,0.00404585,0.0441442,0.168894,0.715733,0.461545,0.319659,0.0793663,0.0790679,0.0718384,0.0857449,8.01759e-05,0.0419151,0.0426306,0.274828,0.0171141,1,1,0.66498,0.0554552,0.0743803,0.0183433,0.314758,0.184662,0.0123238,0.0161728,0.0169166,0.454421,0.0337066,0.0173275,0.0170708,0.0476389,0.0513397,0.0442404,0.053735,0.0288179,0.00927936,0.00764082,0.0112379,0.00772664,0.0079174,0.00830815,0.00277921,0.0410453,0.0815545,0.0614402,0.0738545,0.012994,0.0304717,0.229293,0.0206955,0.146692,0.0232082,0.00851034,
1.405,0.708192,0.711848,0.420267,0.596501,0.171357,0.208742,0.466493,0.217902,0.0123302,0.119786,0.0938004,0.154059,0.101499,0.098529,0.214638,0.537572,0.532447,0.210429,0.0756618,0.0753041,0.00342908,0.0062602,0.0140586,0.895462,0.000224826,0.152159,0.0895201,0.0122668,0.0422501,0.168745,0.757571,0.461542,0.319588,0.0786804,0.0789681,0.0675814,0.0873833,0.00155688,0.0413189,0.042571,0.265989,0.0185747,1,1,0.628431,0.0535037,0.0845327,0.0182989,0.272048,0.186169,0.0726119,0.0900008,0.171526,0.431753,0.0340072,0.0163178,0.0160881,0.0475793,0.0492148,0.0442404,0.0617686,0.0353119,0.0113566,0.00889938,0.023757,0.0625771,0.0627373,0.00788614,0.00741787,0.0404827,0.276415,0.0667147,0.0841615,0.115686,0.0304075,0.19527,0.0796731,0.130109,0.0223837,0.00850643,
1.41,0.69571,0.734091,0.406761,0.623413,0.186263,0.228084,0.465346,0.217272,0.0119103,0.119313,0.0907016,0.157028,0.0994582,0.101834,0.209957,0.561352,0.555296,0.212218,0.0761388,0.0761984,0.00372665,0.00678348,0.0143404,0.899358,9.71171e-05,0.150322,0.0868753,0.00450891,0.0437763,0.171093,0.730406,0.460342,0.318751,0.0817463,0.0816973,0.0650167,0.0847348,0.000155534,0.0409611,0.0425113,0.254465,0.0177611,1,1,0.607235,0.0521898,0.0934111,0.0182145,0.320406,0.183646,0.012957,0.0169963,0.0176193,0.406012,0.0335467,0.0156981,0.0155084,0.0475197,0.047585,0.0437038,0.0675025,0.0384043,0.0104736,0.00822026,0.0138297,0.00831436,0.00851931,0.00859827,0.00334356,0.0400792,0.0903631,0.0704909,0.0932937,0.0137737,0.0298359,0.233407,0.0215393,0.150195,0.0219988,0.0111958,
1.415,0.676983,0.719266,0.409199,0.607241,0.198784,0.244483,0.465116,0.217071,0.0114011,0.117088,0.0991594,0.157826,0.101313,0.104143,0.202637,0.57785,0.570898,0.210249,0.0764965,0.0766158,0.00396999,0.00720712,0.0144422,0.904332,8.93478e-05,0.146466,0.0937025,0.0139383,0.0422099,0.172038,0.778955,0.460158,0.318499,0.0812709,0.0828653,0.062853,0.0885248,0.000989383,0.0406034,0.0424517,0.240414,0.0193718,1,1,0.581039,0.0517248,0.101125,0.0181745,0.277834,0.178928,0.0829365,0.100761,0.202691,0.381237,0.0326001,0.0153168,0.0151666,0.0474601,0.046479,0.0434653,0.0746551,0.0452992,0.0128097,0.00965475,0.0283169,0.0731001,0.0696824,0.0082554,0.00850226,0.0398594,0.321192,0.0730261,0.101368,0.134663,0.0295675,0.198924,0.0889994,0.131569,0.0218035,0.0121078,
1.42,0.657749,0.755633,0.401473,0.646383,0.208681,0.257847,0.463499,0.216174,0.0114217,0.120728,0.0974022,0.156348,0.102001,0.108996,0.193988,0.588691,0.580876,0.205714,0.077212,0.0775101,0.00416206,0.00754339,0.0143196,0.915171,3.49622e-05,0.149888,0.0923352,0.00514974,0.0452591,0.174374,0.760548,0.458479,0.317306,0.0868209,0.0861224,0.0626598,0.0876942,0.000103207,0.0404245,0.0424517,0.228406,0.0191432,1,1,0.577436,0.0521475,0.107774,0.0180501,0.346697,0.172909,0.0149092,0.0192608,0.0218207,0.357723,0.0314191,0.0153305,0.0152178,0.0474004,0.0455693,0.0428691,0.0795636,0.0483479,0.0117608,0.00896003,0.0165528,0.0100664,0.00976942,0.00928402,0.00385836,0.039588,0.107574,0.0745346,0.10848,0.0165026,0.029343,0.253367,0.0241151,0.161832,0.0218753,0.0149449,
1.425,0.63477,0.705028,0.412281,0.587542,0.217148,0.269158,0.463177,0.215892,0.0108081,0.115767,0.106839,0.154261,0.10526,0.111977,0.184814,0.595042,0.586397,0.199445,0.077689,0.0778679,0.0043123,0.00780485,0.0141565,0.90911,0.00128146,0.147705,0.102231,0.0184969,0.0465288,0.175271,0.813029,0.458221,0.316951,0.0834743,0.0874575,0.0596425,0.0941473,0.00134362,0.0402456,0.0424517,0.214267,0.0206578,1,1,0.55135,0.0521475,0.113455,0.0179879,0.240932,0.166418,0.128435,0.166747,0.303066,0.337065,0.0301251,0.0154783,0.015393,0.0473408,0.0449315,0.0426902,0.0875959,0.0578176,0.0142117,0.0115528,0.0732328,0.156787,0.130707,0.00879345,0.0367699,0.0394189,0.450957,0.0752069,0.114727,0.235644,0.0292526,0.17007,0.137274,0.11765,0.0219873,0.0158812,
1.43,0.615996,0.759142,0.409997,0.645072,0.223527,0.278047,0.461111,0.214746,0.0142001,0.126059,0.109638,0.151054,0.109126,0.117087,0.175762,0.597795,0.588353,0.192136,0.0783449,0.0785834,0.00445541,0.0080252,0.0138936,0.923022,0.0158854,0.160286,0.103247,0.00661399,0.0661828,0.177233,0.79301,0.456079,0.315426,0.0929995,0.0908194,0.0613568,0.0957145,0.0546373,0.0401264,0.0424517,0.207122,0.0331832,1,1,0.561093,0.0544829,0.118251,0.0178102,0.36438,0.161377,0.0203022,0.0263935,0.0322676,0.31812,0.0288634,0.0159316,0.015873,0.0472812,0.0443053,0.0420343,0.0930752,0.0621707,0.0130266,0.0110094,0.0535133,0.0216335,0.0160663,0.0152817,0.0388828,0.0391351,0.159521,0.0751935,0.120191,0.0268435,0.0295121,0.287692,0.0301106,0.167254,0.0222458,0.0186033,
