time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
1.385,0.179835,0.513864,0.151612,0.299555,0.0410058,0.0485212,0.196134,0.196134,0.00999151,0.0873981,0.0662086,0.0444589,0.0726148,0.0865378,0.0626822,0.0626822,0.0626822,0.0752152,0.0752152,0.0752152,0.000316119,0.00070937,0.00454823,0.600571,7.87406e-05,0.053002,0.059503,0.00167997,0.0350592,0.0600827,0.354239,0.196134,0.196134,0.0674558,0.0518339,0.0414701,0.0565645,0.000586631,0.0374128,0.0380154,0.131371,0.0136233,0.347364,0.61639,0.426849,0.0450685,0.0181557,0.0181557,0.272823,0.062485,0.00893497,0.0130855,0.0104575,0.252096,0.0131694,0.0131694,0.0131694,0.0441859,0.0441859,0.0441859,0.0120189,0.00632276,0.00548765,0.00566991,0.001533,0.00362319,0.00589746,0.00804216,0.000446702,0.0346332,0.0163109,0.0181557,0.0181557,0.00912872,0.0300765,0.210835,0.0174929,0.13846,0.0205024,0.00817969,
1.39,0.159037,0.455366,0.144763,0.26535,0.0448248,0.0509936,0.196134,0.196134,0.00866619,0.077864,0.0611627,0.0423045,0.0664671,0.0865378,0.0626822,0.0626822,0.0626822,0.0752152,0.0752152,0.0752152,2.02736e-05,0.000378029,0.00441365,0.542365,1.02667e-05,0.0472516,0.0558253,0.00262639,0.0310076,0.0600827,0.326738,0.196134,0.196134,0.0604383,0.0518339,0.0366734,0.0530645,8.08462e-05,0.0374128,0.0380154,0.116656,0.0124557,0.307637,0.546357,0.378106,0.0407917,0.0181557,0.0181557,0.242097,0.0568488,0.0136006,0.0189548,0.0244095,0.252096,0.0131694,0.0131694,0.0131694,0.0441859,0.0441859,0.0441859,0.0281466,0.0148084,0.00557642,0.00556352,0.0035899,0.00844695,0.0105898,0.0071548,0.00104621,0.0346332,0.0382009,0.0181557,0.0181557,0.018369,0.0300765,0.18702,0.0215682,0.122778,0.0205024,0.00817969,
1.395,0.151627,0.437338,0.230243,0.253035,0.117703,0.119312,0.196134,0.196134,0.0084145,0.0798817,0.0809383,0.0665117,0.0826779,0.0865378,0.0626822,0.0626822,0.0626822,0.0752152,0.0752152,0.0752152,0.000140457,0.000497662,0.00760533,0.60848,6.61353e-05,0.0477167,0.0808849,0.0125541,0.029563,0.0600827,0.426395,0.196134,0.196134,0.0639428,0.0518339,0.0363321,0.0770563,0.000519868,0.0374128,0.0380154,0.113737,0.0153012,0.293314,0.524113,0.360824,0.0465735,0.0181557,0.0181557,0.235427,0.0677852,0.0636296,0.0834317,0.156685,0.252096,0.0131694,0.0131694,0.0131694,0.0441859,0.0441859,0.0441859,0.181016,0.095261,0.0116802,0.0100801,0.0230921,0.0543482,0.0575162,0.00709994,0.00672747,0.0346332,0.245647,0.0181557,0.0181557,0.108208,0.0300765,0.18085,0.0748195,0.118251,0.0205024,0.00817969,
1.4,0.196931,0.563185,0.159279,0.328577,0.0392615,0.0478205,0.196134,0.196134,0.0107013,0.0952016,0.0708366,0.0467149,0.0781229,0.0865378,0.0626822,0.0626822,0.0626822,0.0752152,0.0752152,0.0752152,1.03583e-06,0.000440588,0.00472943,0.651798,5.2455e-07,0.0579325,0.0631359,0.00107741,0.0383959,0.0600827,0.379721,0.196134,0.196134,0.073473,0.0518339,0.0451307,0.0599776,4.13064e-06,0.0374128,0.0380154,0.143907,0.0146827,0.380939,0.675844,0.468127,0.0488464,0.0181557,0.0181557,0.298784,0.0674547,0.00587973,0.00933838,0.00130698,0.252096,0.0131694,0.0131694,0.0131694,0.0441859,0.0441859,0.0441859,0.00143808,0.000756598,0.00553532,0.00585463,0.000183417,0.000431576,0.00286813,0.00880056,5.34535e-05,0.0346332,0.00195178,0.0181557,0.0181557,0.00311302,0.0300765,0.231032,0.0149729,0.151787,0.0205024,0.00817969,
1.405,0.156394,0.4516,0.249362,0.261633,0.130889,0.131281,0.196134,0.196134,0.00927958,0.0840629,0.086646,0.0722048,0.0878976,0.0865378,0.0626822,0.0626822,0.0626822,0.0752152,0.0752152,0.0752152,0.000490878,0.000863657,0.00829949,0.638212,0.000334156,0.0495606,0.0871493,0.0145315,0.0309399,0.0600827,0.456208,0.196134,0.196134,0.0670841,0.0518339,0.0394434,0.0831796,0.00110334,0.0374128,0.0380154,0.117808,0.0165047,0.302242,0.539853,0.371858,0.0489584,0.0181557,0.0181557,0.242949,0.0723329,0.0738777,0.0977096,0.177072,0.252096,0.0131694,0.0131694,0.0131694,0.0441859,0.0441859,0.0441859,0.205201,0.108626,0.0138797,0.0110344,0.0265736,0.0623958,0.0688323,0.00757387,0.00795991,0.0346332,0.277698,0.0181557,0.0181557,0.125316,0.0300765,0.186903,0.0865261,0.123268,0.0205024,0.00817969,
1.41,0.199849,0.571501,0.160767,0.333446,0.0391338,0.0478599,0.195327,0.195327,0.0108586,0.0965593,0.0716723,0.0471595,0.0790979,0.0940153,0.0639211,0.0639211,0.0639211,0.076752,0.076752,0.076752,0,0.000445916,0.00476737,0.660592,0,0.0587657,0.0638098,0.000998398,0.0389649,0.0615371,0.384262,0.195327,0.195327,0.0745021,0.0548369,0.0457873,0.0606162,0,0.0382972,0.0398718,0.146015,0.014868,0.386584,0.685829,0.475061,0.0494976,0.0180352,0.0180352,0.303168,0.0683259,0.00548812,0.00885952,6.33386e-05,0.237923,0.0143688,0.0143688,0.0143688,0.0433964,0.0433964,0.0433964,0,0,0.00555752,0.0058962,0,0,0.00246319,0.00892839,0,0.0343354,0,0.0180352,0.0180352,0.0023017,0.0291322,0.234432,0.0146823,0.154025,0.0213143,0.0119329,
1.415,0.158896,0.465036,0.275894,0.271724,0.150302,0.149259,0.195327,0.195327,0.00921228,0.086211,0.093104,0.0792941,0.0936219,0.0940153,0.0639211,0.0639211,0.0639211,0.076752,0.076752,0.076752,0.000289987,0.000610483,0.00919472,0.672961,8.83745e-05,0.0508699,0.0947618,0.0165599,0.0309502,0.0615371,0.488188,0.195327,0.195327,0.0696916,0.0548369,0.0427324,0.0903637,0.000695491,0.0382972,0.0398718,0.120025,0.0172854,0.307089,0.550089,0.378003,0.0514778,0.0180352,0.0180352,0.248478,0.0757615,0.0845719,0.109521,0.209955,0.237923,0.0143688,0.0143688,0.0143688,0.0433964,0.0433964,0.0433964,0.244135,0.130633,0.0158382,0.0122162,0.0316084,0.0730713,0.0764779,0.00800103,0.00907645,0.0343354,0.328647,0.0180352,0.0180352,0.146061,0.0291322,0.190467,0.0968836,0.124223,0.0213143,0.0119329,
1.42,0.218495,0.624846,0.176447,0.364556,0.0433385,0.0528473,0.194214,0.194214,0.0118727,0.10561,0.0785263,0.0517527,0.0866203,0.101455,0.0655048,0.0655048,0.0655048,0.0779995,0.0779995,0.0779995,8.20097e-07,0.000488457,0.00523724,0.7229,4.15302e-07,0.0642683,0.0699674,0.00116565,0.0426003,0.0627919,0.420961,0.194214,0.194214,0.0814998,0.0579868,0.0500688,0.0664669,3.27035e-06,0.0390767,0.0416454,0.159657,0.0162804,0.422652,0.749841,0.519387,0.0541724,0.0178372,0.0178372,0.331487,0.0748009,0.00637366,0.0101677,0.00105461,0.223137,0.0157946,0.0157946,0.0157946,0.0425796,0.0425796,0.0425796,0.00113857,0.000599021,0.00612272,0.00648157,0.000145217,0.000341692,0.00304209,0.00976343,4.23207e-05,0.0339795,0.00154528,0.0178372,0.0178372,0.00318541,0.0289144,0.256323,0.016452,0.168404,0.022069,0.015569,
1.425,0.148308,0.372828,0.306759,0.213615,0.21253,0.199213,0.194214,0.194214,0.00731078,0.0745828,0.100465,0.0926054,0.0983146,0.101455,0.0655048,0.0655048,0.0655048,0.0779995,0.0779995,0.0779995,0.000284661,0.000605132,0.0104037,0.630293,0.00195361,0.0509919,0.107831,0.0222505,0.0385894,0.0627919,0.538646,0.194214,0.194214,0.0681764,0.0579868,0.0324349,0.101728,0.000950329,0.0390767,0.0416454,0.098853,0.0183335,0.248129,0.44579,0.305679,0.0510685,0.0178372,0.0178372,0.204072,0.0785138,0.131903,0.182158,0.316636,0.223137,0.0157946,0.0157946,0.0157946,0.0425796,0.0425796,0.0425796,0.368785,0.194113,0.0173331,0.0162107,0.0957058,0.159153,0.144015,0.00844783,0.0441297,0.0339795,0.486455,0.0178372,0.0178372,0.256661,0.0289144,0.155491,0.150385,0.103182,0.022069,0.015569,
1.43,0.24917,0.679125,0.18935,0.388221,0.0591605,0.0644507,0.192801,0.192801,0.0304138,0.129268,0.0936031,0.0635755,0.100748,0.108871,0.0673775,0.0673775,0.0673775,0.0789401,0.0789401,0.0789401,0.00280576,0.00337498,0.00717384,0.769746,0.0235864,0.0814669,0.0823956,0.00123603,0.0866821,0.0638327,0.457384,0.192801,0.192801,0.0916339,0.0612092,0.0585628,0.0779375,0.0394317,0.0397413,0.0433209,0.209333,0.0333896,0.46226,0.800578,0.57741,0.0635339,0.0175681,0.0175681,0.357079,0.113026,0.00694935,0.0107575,0.000979433,0.20789,0.017436,0.017436,0.017436,0.0417353,0.0417353,0.0417353,0.00185797,0.00116425,0.00681821,0.00813179,0.0129599,0.000555329,0.00319025,0.0184605,0.0271441,0.0335551,0.00623068,0.0175681,0.0175681,0.00329467,0.0294175,0.298875,0.0174617,0.17958,0.0227526,0.0190393,
