time,hip_flexion_r,hip_flexion_r_id,hip_adduction_r,hip_adduction_r_id,hip_rotation_r,hip_rotation_r_id,knee_angle_r,knee_angle_r_id,ankle_angle_r,ankle_angle_r_id,hip_flexion_l,hip_flexion_l_id,hip_adduction_l,hip_adduction_l_id,hip_rotation_l,hip_rotation_l_id,knee_angle_l,knee_angle_l_id,ankle_angle_l,ankle_angle_l_id,
1.385,-9.58804,14.7426,23.3282,-1.06208,26.0333,-0.0355454,-94.9141,-4.09984,98.8065,1.68974,-0.864395,-15.7296,-8.82212,6.46889,-5.69243,0.0458333,0.832738,4.21391,-2.36914,0.920234,
1.39,-33.0592,11.4867,29.2562,-0.797558,21.271,0.153607,-98.4846,-1.81016,98.7807,0.764939,-0.932187,-14.1918,-7.00716,6.8711,-5.84432,0.0812854,1.76478,4.06107,-3.34711,0.847186,
1.395,-25.9962,6.82689,13.0119,-0.179926,24.5941,0.346104,-98.9744,2.54751,100.521,-2.5512,0.0805373,-12.5979,-2.26567,7.1719,-4.66667,0.116855,1.69889,3.88711,-5.13192,0.776999,
1.4,-24.9388,6.13519,7.4291,-0.231497,25.5701,0.494345,-101.718,1.16125,101.837,0.651172,-0.033035,-10.9497,-1.48104,7.37118,-4.71176,0.15372,0.506014,3.687,-3.61113,0.710498,
1.405,-24.0702,14.0446,-1.13684,-1.88965,26.7202,0.579284,-104.453,-12.385,102.969,17.5,0.0220159,-9.24426,0.368922,7.47305,-4.28111,0.192832,1.32606,3.45479,-6.48908,0.648505,
1.41,-22.9034,24.5431,-5.18164,-4.05449,27.3743,0.684621,-107.732,-29.0032,104.07,37.3914,-0.396387,-7.47497,0.76546,7.48539,-4.54336,0.234851,0.250929,3.18412,-3.76417,0.591852,
1.415,-20.9861,30.7071,-12.8433,-5.39783,28.1509,0.879565,-111.269,-38.7015,105.092,48.9403,-0.578325,-5.63294,3.31462,7.41939,-3.99241,0.280103,0.884443,2.86889,-5.8069,0.541377,
1.42,-18.9626,35.1939,-14.1548,-6.46307,28.5794,1.14437,-115.267,-45.4055,106.074,56.6501,-0.592667,-3.70937,1.5257,7.28897,-4.77997,0.328522,0.244871,2.50405,-3.92011,0.497929,
1.425,-13.312,42.2861,-25.2122,-8.14853,29.1592,1.46222,-119.808,-55.1766,106.876,67.3154,0.591951,-1.69793,3.53465,7.11009,-3.94772,0.379594,0.355315,2.08637,-2.92535,0.462377,
1.43,-8.55963,51.6787,-28.7575,-10.4488,29.6942,1.86468,-130.462,-67.51,107.615,80.298,0.382383,0.402908,4.98372,6.89993,-4.02377,0.432294,1.04954,1.61517,-6.25467,0.435602,
1.435,-3.48512,62.082,-36.3538,-13.1485,30.4936,2.38919,-131.858,-80.5819,108.288,93.5331,4.93995,2.58792,4.09381,6.67625,-3.04165,0.485061,-0.743642,1.09283,-0.226388,0.418496,
1.44,1.85983,73.3992,-40.8883,-16.2673,31.3338,3.06426,-140.961,-94.2833,108.299,106.903,4.17735,4.84388,5.72207,6.45644,-3.19145,0.535784,2.39851,0.525035,-17.2399,0.411945,
