time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
1.385,147.505,452.634,265.556,561.667,0.0124802,22.7893,1076.86,2.86754,657.014,306.752,0,0,0,0,0,301.034,369.796,315.586,2.82653,0.432978,568.962,419.009,0,72.4253,515.039,122.879,30.4718,0,1290.57,3438.92,96.7818,1846.79,131.352,0.0908431,281.008,1129.88,0,3.04814,468.628,244.137,26.8299,0,6.90875,143.607,32.7365,1.66173,131.815,4.30935,344.843,29.1853,157.157,392.855,133.911,0,0,0,0,41.6939,1.27002,10.2474,353.361,7.07267,0.353182,0,1.30201,0.560152,355.135,4.1693,0.460045,0,3.57799,0,9.04765,10.5477,0.606855,131.888,1513.01,143.405,22.3073,0,
1.39,175.005,453.139,300.65,545.195,0.00883772,34.4405,1099.71,2.80014,657.086,306.879,0,0,0,0,0,460.717,559.463,351.269,2.84287,0.433281,569.412,419.975,0,71.7236,515.024,124.981,32.209,0,1289.89,3438.09,93.9883,1875.75,30.175,0.0671125,280.911,1130.96,0,1.19079,479.559,249.788,33.4544,0,17.1391,159.992,35.8691,1.79547,140.825,4.30527,342.658,34.1402,157.679,394.204,140.766,0,0,0,0,42.1535,1.32813,10.1688,356.527,9.15064,0.372808,0,1.95807,0.915195,356.657,4.06271,0.743649,0,6.32603,0,13.4802,14.9471,0.607821,123.637,1514.01,137.211,23.2715,0,
1.395,167.495,438.183,279.529,483.553,0,8.9126,1070.57,2.92853,657.879,309.829,0.959594,0.808392,0,0,0,482.706,521.771,426.668,5.3769,0.820776,602.812,441.726,2.72601,68.1182,521.977,112.005,26.2546,0.272614,1292.89,3456.09,103.19,1843.08,67.8192,0,285.889,1161.6,1.67758,0.635476,466.039,244.961,45.0975,0.650457,26.5517,168.87,40.2822,5.64335,144.185,3.10658,342.923,35.6284,160.806,404.354,150.982,0,0,0,0.705738,26.6826,0.0876489,5.00762,325.356,7.58564,0,0.265827,9.9916,6.87008,377.845,0.198391,4.9948,1.10417,25.491,0,15.782,23.7607,0.305777,112.911,1514.33,145.089,31.16,1.53515,
1.4,169.084,431.596,269.351,479.893,0,37.7296,1042.59,2.94524,657.905,311.783,0.0560241,0.0204479,0,0,0,535.86,531.857,476.404,6.72673,1.11094,625.694,456.552,4.14798,67.2334,527.629,105.425,21.0981,0.00473904,1296.3,3470.57,104.357,1811.04,64.8403,0,289.865,1185.57,0.187631,0.128658,459.083,244.39,48.4924,1.17391,28.241,172.106,39.4596,7.08414,149.374,2.47019,347.172,37.3125,155.909,391.064,137.782,0,0,0,0.741632,23.9585,0,2.19817,334.416,7.90365,0,0.205317,6.95167,3.21383,365.157,0.172346,3.04053,0.354706,12.7551,0,18.891,22.8567,0.150348,121.294,1496.13,162.215,33.1057,1.93216,
1.405,166.48,426.248,262.862,465.827,0,13.4951,1015.25,2.93087,657.86,313.397,0.185915,0.0509195,0,0,0,580.851,542.073,514.635,7.5463,1.36584,649.378,471.019,6.10786,66.8427,533.348,101.083,16.3194,0.0155016,1298.96,3485.33,109.312,1778.36,65.0546,0,293.779,1207.79,0.584027,0.757486,454.121,244.983,48.8491,1.56044,29.5032,173.865,37.5662,7.72156,154.258,2.14653,346.8,38.6193,160.239,404.049,150.869,0,0,0,1.52888,19.5892,0,0,306.183,8.84529,0,0.42101,13.2419,9.49906,387.06,0,6.44052,0.871749,33.7069,0,21.7564,59.1579,0.0688367,116.612,1500.12,163.052,33.5246,3.48867,
1.41,160.91,422.706,250.515,476.508,0,40.6265,987.79,2.8793,657.864,315.08,0.406684,0.0990168,0,0,0,620.609,553.597,541.237,8.24575,1.6534,674.186,486.004,7.14057,66.7956,538.954,97.9983,12.1772,0.0475279,1302.57,3502.37,107.507,1743.6,64.1614,0,298.039,1230.1,1.17712,0.94257,452.444,246.214,47.9062,1.68897,30.5956,175.293,36.7001,8.18376,158.924,1.97604,351.042,39.6184,154.648,388.724,141.41,0,0,0,2.13052,16.8957,0,0,316.439,9.41289,0,0.572376,8.48339,4.13612,372.235,0,3.53768,1.46239,13.8761,0,24.4268,28.7993,0.0267158,127.651,1479.81,176.279,33.9426,4.43629,
1.415,152.985,417.989,245.74,467.339,0,15.7847,959.811,2.8154,657.875,316.613,0.675266,0.163291,0,0,0,654.066,564.556,558.925,8.96301,2.01058,699.921,501.69,7.86365,66.8669,544.582,95.0869,8.45423,0.162719,1305.19,3520.85,112.461,1705.9,62.7536,0,302.342,1251.71,1.84735,2.29099,452.014,247.933,46.1917,1.73235,31.697,176.709,35.2812,8.65998,163.222,1.85239,350.739,40.3639,159.471,402.908,137.622,0,0,0,2.57817,14.7178,0,0,266.64,11.3296,0,0.65487,15.545,10.4082,395.001,0,7.22499,1.97189,36.7409,0,26.8541,59.3324,0.0106404,122.004,1485.3,172.144,34.5778,4.9774,
1.42,144.766,414.06,237.388,486.725,32.695,37.4729,930.865,2.7153,657.948,318.242,0.939057,0.236399,0,0,0,681.617,573.78,570.419,9.79214,2.47119,726.791,518.229,8.54671,67.4478,550.157,92.851,5.26416,0.532045,1309.08,3541.84,111.742,1664.39,60.8957,0,306.964,1273.15,2.47328,1.04121,454.046,250.367,44.7166,1.75044,32.8558,178.209,36.3192,9.21813,167.107,1.72867,356.534,40.9137,153.491,386.402,150.723,0,0,0,2.96169,12.5812,0,0,318.82,12.0401,0,0.695984,9.95624,4.62961,378.703,0,3.90593,2.34629,16.5188,0,29.0326,33.1576,0.0115074,138.461,1463.93,188.004,35.6012,5.35269,
1.425,136.658,406.821,237.943,449.787,0,10.5139,900.801,2.60511,657.967,319.339,1.17316,0.308589,0,0,0,703.649,580.316,578.072,10.7402,3.02124,755.432,535.684,9.2815,66.5383,556.117,90.4467,2.42081,1.40585,1312.39,3564.63,117.27,1618.73,58.8725,0,311.684,1292.24,3.01937,4.59676,456.941,253.182,42.7655,1.76077,34.0844,179.819,34.9477,9.78554,170.555,1.5888,351.757,41.3402,159.163,404.908,94.7739,0,0,0,3.32631,10.505,0,0,270.298,14.7679,0,0.713698,35.7071,7.49759,410.272,0,26.7246,2.61383,48.0647,0,30.9658,14.6998,0.00932724,115.04,1474.26,167.363,36.8509,5.68013,
1.43,128.331,402.076,233.763,470.435,0,35.2123,869.418,2.46001,658.376,320.698,1.36993,0.371301,0,0,0,720.496,583.622,583.925,11.838,3.67944,785.423,554.344,10.0936,67.056,566.385,89.2132,0.66817,2.80006,1320.91,3590.05,116.615,1568.68,56.5461,0,316.742,1310.41,3.49392,124.051,460.89,256.254,42.0979,1.7681,35.3837,181.547,37.5028,10.596,173.559,1.43031,361.249,41.798,152.251,383.798,177.182,0,0,0,3.69812,8.52184,0,0,265.091,15.8221,0,0.717605,30.5679,7.57135,385.02,0,30.5747,2.81472,24.7554,0,32.6615,65.1758,0,146.603,1447.21,191.758,38.4173,6.0133,
