time,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,
1.385,0,0.000626594,0,0,0.700573,0.0203646,0,0,
1.39,0,0,0,0,0.620578,0.0476953,0,0,
1.395,0,0,0.000260204,0,0.591666,0.306697,0,0,
1.4,0,0,0,0,0.768446,0.00243688,0,0,
1.405,0.0002507,0.000160763,0.0068265,0,0.608977,0.346399,0.00105996,0,
1.41,0,0,0,0,0.779834,0,0,0,
1.415,0,0,0.000119958,0.00763945,0.619429,0.410306,0,0,
1.42,0,0,0,0,0.852592,0.00192935,0,0,
1.425,0.0695377,0,0.00119512,0,0.499029,0.560648,0,0,
1.43,0,0,0,0,0.907937,0.00177335,0.093582,0.00858361,
1.435,0.392543,0.00034208,0.0177056,0.18099,0.316116,0.653235,0,0.000246055,
1.44,0,0,0,0,1,0,0.0604571,0,
1.445,0.471582,0,0.00184448,0.485828,0.313303,0.621172,0.000406932,0,
1.45,0,0.00107093,0,0,0.58207,0,0.764053,0.276196,
1.455,0.441414,0,0.00954317,0.790707,0.328771,0.426777,0,0,
1.46,0,0.00709872,0,0.000449706,0.505029,0,0.955986,0.405332,
1.465,0.620823,0,0.0264636,0.598081,0.352167,0.258177,0,0.000897575,
1.47,0.000665456,0.00160783,0,0,0.489988,0,0.975722,0.531287,
1.475,0.723132,0,0.0417335,0.800789,0.307156,0.137386,0,0,
1.48,0,0.00461201,0,0,0.455297,0,0.992032,0.660958,
1.485,0.823766,0,0.0254564,0.800161,0.272278,0.0336358,0.00841232,0.00017763,
1.49,0,0,0.000570326,0,0.453026,0.000322121,1,0.689548,
1.495,0.906294,0,0.0163659,0.798342,0.214993,0.0126327,0.0130019,0.00207177,
1.5,0,0,0.000592757,0,0.472286,0,0.960321,0.726799,
1.505,0.895564,0.0179819,0.00320205,0.907161,0.167628,0,0.0234908,0.00380789,
1.51,0,0.00214565,0,0,0.468115,0,0.900997,0.746495,
1.515,0.893595,0,0.00118873,0.924281,0.108045,0.00150452,0.0982994,0.040085,
1.52,0,0.00311911,0,0.0254615,0.428868,0,0.9055,0.760449,
1.525,0.910452,0.015919,0.0114125,0.861912,0.0620907,0,0.193538,0.000250805,
1.53,0.000230911,0,0.00254119,0.184797,0.428715,0.00912191,0.832937,0.767432,
1.535,0.92903,0.00734146,0,0.651686,0.0489355,0,0.143271,0.0733694,
1.54,0.0063097,0,0,0.260282,0.365261,0,0.80905,0.75012,
1.545,0.975479,0,0.00292815,0.66354,0,0.00510328,0.139621,0.120725,
1.55,0.0168665,0,0,0.360203,0.348711,0,0.814378,0.673412,
1.555,0.875269,0.0075207,0.00372636,0.643424,0.0371525,0,0.168311,0.0570283,
1.56,0.0377732,0.000783595,0.00432735,0.396997,0.310265,0,0.792517,0.640579,
1.565,0.64864,0,0,0.0130196,0,0,0.302197,0.536114,
1.57,0,0,0.0149662,0,0,0.0593507,0.57871,0.776923,
1.575,0.154726,0.143295,0.00459027,0,9.49167e-05,0.00236795,0.543123,0.853237,
1.58,0.257328,0.0886205,0.00725143,0,0,0.0164551,0.536786,0.862003,
1.585,0.261275,0.11565,0.00432134,0.000648782,0,0.0135867,0.534264,0.854884,
1.59,0.276221,0.119961,0.00517633,0,0,0.0212388,0.519028,0.905961,
1.595,0.21823,0.108213,0,0,0,0.0556985,0.496358,0.838171,
1.6,0.222401,0.107871,0.0139141,9.8718e-05,0.00215447,0.0239316,0.480319,0.884767,
1.605,0.214885,0.135431,0,0,0,0.0228086,0.514411,0.919641,
1.61,0.217778,0.123044,0.00314,0,0,0.0146895,0.49883,0.954184,
1.615,0.183394,0.128249,0.000650375,0,0,0.0362912,0.514279,0.935467,
1.62,0.184193,0.12131,0,0,0.000827697,0.0130563,0.486053,0.963316,
1.625,0.174237,0.113317,0.00386622,0.000201898,0,0.0279247,0.497723,0.9581,
1.63,0.145334,0.118715,0,0.00101501,0,0.0138487,0.474388,0.97763,
1.635,0.133913,0.117064,0.0058218,0,0,0.0437632,0.515017,0.958372,
1.64,0.135122,0.105148,0,0.00339171,0,0.0372128,0.495665,0.971602,
1.645,0.131535,0.107475,0.0104879,0.00116424,0,0.0304558,0.486791,0.975504,
1.65,0.124486,0.110639,0.00234134,0.00283745,0,0.0320145,0.47486,0.97323,
1.655,0.113106,0.111388,0.00510513,0.00121564,0,0.0320033,0.480704,0.983548,
1.66,0.11032,0.112968,0,0,0,0.0213915,0.472534,0.976913,
1.665,0.0973757,0.114509,0,0,0.000577935,0.0341112,0.488692,0.984161,
1.67,0.0968511,0.118187,0,0,0,0.0291431,0.460304,0.983867,
1.675,0.0972861,0.116921,0,0.00260301,0.00153886,0.0232863,0.471402,0.987415,
1.68,0.092786,0.121606,0,0,0,0.0132781,0.458866,0.98337,
1.685,0.0768695,0.111364,0.014049,0,0,0.0340757,0.451933,0.99613,
1.69,0.0845649,0.126338,0,0.000993253,0,0.0236457,0.439561,0.990363,
1.695,0.080005,0.11007,0,0,0,0.00424287,0.440482,1,
1.7,0.0609912,0.116083,0.000323399,0,0,0.0230399,0.412508,0.975195,
1.705,0.0578622,0.105156,0,0,0.000355446,0.0124828,0.406783,0.983422,
1.71,0.0563966,0.12727,0,0,0.000477169,0.0212026,0.391678,0.965245,
1.715,0.0485663,0.122277,0,0,0.000127216,0.00938361,0.394723,0.981995,
1.72,0.0383156,0.141186,0,0,0,0.0336035,0.381319,0.958168,
1.725,0.0463541,0.147675,0,0,0,0.00697831,0.385261,0.98517,
1.73,0.0372617,0.160008,0,4.3128e-05,0,0.0139503,0.358743,0.947827,
1.735,0.0359737,0.16734,0,0,0,0.0146539,0.36617,0.953134,
1.74,0.0313395,0.187967,0.000444426,0.00406684,0,0.00632479,0.339211,0.937157,
1.745,0.0258031,0.192939,0.00739163,0.00392582,0,0.00195624,0.341607,0.930675,
1.75,0.0254142,0.211523,0,0.00206852,0,0.0142877,0.320735,0.910972,
1.755,0.0225821,0.220824,0.0027707,0,0.00125582,0.00321839,0.325122,0.910011,
1.76,0.0179934,0.238635,0.00165738,0,0,0.00270018,0.304067,0.888331,
1.765,0.0172048,0.247435,0.00266373,0,0,0.0103389,0.304143,0.889881,
1.77,0,0.262684,0.00364215,0,0.000580577,0.0146293,0.284749,0.870643,
1.775,0.01272,0.263542,0.00324888,0.00318097,0,0.0143156,0.282951,0.869772,
1.78,0.00828162,0.28714,0.000354512,0,0,0.00154588,0.269328,0.872747,
1.785,0.00297992,0.275452,0.00453176,0.00226839,0,0.00141092,0.262946,0.867913,
1.79,0.00223405,0.300363,0.0080286,0,0,0,0.248169,0.87658,
1.795,0.0135201,0.293215,0.00423175,0,0,0.000220975,0.244367,0.886149,
