mtu,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,
addbrev_r,0.0273451,0.011927,0.0125077,0.0215736,0.0267836,0.010997,0.0201965,0.000920747,
addlong_r,0.00995077,0.010895,0.021919,0.0112144,0.0224881,0.00358046,0.03203,0.0119709,
addmagDist_r,0.0170555,0.0156389,0.0165183,0.0256306,0.0291351,0.00934989,0.0309202,0.0184137,
addmagIsch_r,0.0107844,0.00641953,0.0199146,0.0281027,0.0181607,0.0320541,0.0182513,0.0142541,
addmagMid_r,0.015733,0.00301735,0.00296658,0.0265649,0.0166301,0.00966829,0.0213704,0.0146864,
addmagProx_r,0.00467167,0.0247146,0.031164,0.0131431,0.0021777,0.0125599,0.0168585,0.0296133,
bflh_r,0.113766,2.01587e-07,0.000633705,0.00159073,2.33309e-05,0.0930425,0.1301,0.0620081,
bfsh_r,0.113752,3.16473e-06,0.000677669,0.00150892,5.63013e-05,0.0930879,0.130084,0.0620109,
edl_r,0.0034996,0.0173779,0.000411715,0.0023151,0.0169355,0.017674,0.0249584,0.00688349,
ehl_r,0.0018748,0.00321409,0.0230167,0.0196016,0.0209728,0.000557786,0.013651,0.014954,
fdl_r,0.0333648,0.00415569,0.0276413,0.00570894,0.013828,0.0139911,0.00294457,0.00224687,
fhl_r,0.0304318,0.0268261,0.00948795,0.00294261,0.0182679,0.0219336,0.0110021,0.0303873,
gaslat_r,0.00604744,0.0022863,0.0283039,0.00910171,0.0200131,0.0276879,0.00335266,0.00997872,
gasmed_r,7.71469e-08,0.0697553,0.00275087,4.73572e-05,0.000240031,7.07594e-08,0.105686,0.250124,
glmax1_r,0.0724034,0.000178823,0.0827872,0.00368168,0.0284223,0.0173996,0.0448214,0.0162062,
glmax2_r,0.0724032,0.000178962,0.0827879,0.00368042,0.0284226,0.0174003,0.0448211,0.0162062,
glmax3_r,0.0723999,0.000182771,0.0828049,0.00365236,0.0284279,0.0174154,0.0448155,0.0162062,
glmed1_r,0.0487786,0.0654809,0.00379051,1.47657e-06,0.0719074,0.0145052,0.0617397,7.9238e-09,
glmed2_r,0.0487786,0.0654811,0.0037909,8.79766e-07,0.0719074,0.0145055,0.0617396,9.05395e-09,
glmed3_r,0.0487786,0.0654811,0.00379085,9.49397e-07,0.0719074,0.0145055,0.0617396,9.15734e-09,
glmin1_r,0.0248095,0.0115643,0.0251859,0.0254814,0.0328828,0.0245564,0.0250937,0.0143948,
glmin2_r,0.0172635,0.0142272,0.0267198,0.0038384,0.0215624,0.0017638,0.02863,0.0145929,
glmin3_r,0.0104197,0.0130477,0.0186354,0.0314369,0.0147447,0.0189446,0.0195738,0.0274107,
grac_r,0.0105251,0.00403236,0.00218787,0.0193836,0.018013,0.00985097,0.0318862,0.0228918,
iliacus_r,0.0130201,0.00827148,0.021664,0.0251747,0.0267805,0.0227584,0.00573211,0.0211497,
perbrev_r,0.0115364,0.0325369,0.0132737,0.00880788,0.0104903,0.0196982,0.0200762,0.0152087,
perlong_r,0.021993,0.031811,0.0125713,0.00770957,0.0291016,0.00406307,0.0131906,0.00604472,
piri_r,0.0296716,0.00199347,0.0202835,0.00971665,0.0108222,0.0294295,0.00141327,0.0174044,
psoas_r,0.0101125,0.0050117,0.00312075,0.0266559,0.0119164,0.0215613,0.0255595,0.00171814,
recfem_r,0.0394831,0.0573266,8.22541e-11,0.00745198,0.0171275,0.0180606,0.0423538,0.0346401,
sart_r,0.0246699,0.0309154,0.0316807,0.0168607,0.0114906,0.0236765,0.0158477,0.00439318,
semimem_r,0.113748,6.96229e-06,0.000654565,0.00152837,6.9696e-05,0.0930816,0.130091,0.062009,
semiten_r,0.113739,9.14693e-07,0.000471544,0.00172861,0.000115267,0.092999,0.130145,0.0620062,
soleus_r,0.00305988,0.00900499,0.0279661,0.0229306,0.000633519,0.0170884,0.0163829,0.00573701,
tfl_r,0.0650175,0.122414,0.0778794,0.00456835,0.0805927,1.03773e-09,0.0409543,1.83564e-10,
tibant_r,0.0224061,0.0192214,0.0190261,0.0331783,0.0243555,0.020399,0.000115771,0.0294841,
tibpost_r,0.0164084,0.0132403,0.0237687,0.0110115,0.0170425,0.00267066,0.0305004,0.024556,
