mtu,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,
addbrev_r,0.293658,0.476096,0.000305983,0.0201382,0.256272,0,0.16787,0.0911178,
addlong_r,0.0026973,0.324434,0.136081,0.801258,0.73285,0.0120653,0.141471,0.0562805,
addmagDist_r,0.083408,0,0.229055,0.445553,0.206155,0.35282,0.0165489,0,
addmagIsch_r,0.00027955,0,0.182154,0.895737,0.427586,0,0,0,
addmagMid_r,0.38146,0.0117689,0.103826,0.196055,0.0501823,0.286878,0.139871,1.02925e-05,
addmagProx_r,0.242458,0.0232726,0.00124128,0.0267695,0.0613719,0.270625,0.0848648,0.0357831,
bflh_r,0.131845,3.18617e-05,0,0.000339758,0.165251,0.0843721,0.101941,0.0407639,
bfsh_r,0.132353,0.000235346,0.000696324,0,0.16526,0.0849423,0.101993,0.0409579,
edl_r,0,0.360424,0.0562143,0.0477212,0.0139243,0.000526147,0.166121,0.259174,
ehl_r,0.00839731,0.344437,0.145718,0.0900599,0.12382,0.0214658,0.161542,0.197076,
fdl_r,0.0861309,0.0938128,0.082349,0.0864236,0.0919072,0.0865303,0.097963,0.097419,
fhl_r,0.0890115,0.0853735,0.0830397,0.0969405,0.0604738,0.100131,0.0844417,0.0686608,
gaslat_r,0.0894578,0.0834887,0.0617034,0.0634982,0.101429,0.0738503,0.0856626,0.0593404,
gasmed_r,0.0700104,0.0976723,0,0.0120744,0.108622,0.000614754,0.00230458,0.232036,
glmax1_r,0.063211,0.0118515,0.0884261,0.0263928,0.0421986,0.0274263,0.0802947,0.0149251,
glmax2_r,0.0632098,0.0118509,0.0884266,0.0263912,0.0422016,0.0274277,0.0802954,0.0149249,
glmax3_r,0.0631679,0.0118568,0.0884156,0.0263746,0.0422978,0.0274445,0.0802982,0.0149302,
glmed1_r,0.0618897,0.0997505,0.063744,0.00181151,0.108963,0,0.0291237,0,
glmed2_r,0.0618881,0.099751,0.0637439,0.00181079,0.108962,0,0.0291252,0,
glmed3_r,0.0618887,0.0997509,0.0637439,0.00181098,0.108962,0,0.029125,0,
glmin1_r,0,0.490689,0.0387829,0.0145205,0,0.000425064,0,0.326787,
glmin2_r,0,0.476993,0.0396144,0.0068269,0.000571809,0.000485936,0,0.332606,
glmin3_r,0.000801747,0.0011846,0.00914037,0.00974101,0.00611332,0.0129963,0.011266,0.0636091,
grac_r,0.162881,0,0.174382,0.623076,0.847094,0.349655,0.000192913,0,
iliacus_r,0.026351,0.118669,0.000450811,0,0,0.000215255,0.217773,0.373553,
perbrev_r,0.110211,0.00193456,0,0.000466177,0.0753568,0.0102076,0.100208,0.425452,
perlong_r,0.109015,0.0383254,0.0809205,0.0855849,0.0818249,0.105808,0.077631,0.0758753,
piri_r,0,0.00141745,0.0654992,0,0.00128027,0.038408,0,0.000642901,
psoas_r,0.196369,0.0872763,0,0,0.0499656,0,0.423313,0.198277,
recfem_r,0.049566,0.0767861,0.0191279,0.00506142,0.0821995,0.0104154,0.00635793,0.031739,
sart_r,0.659202,0.140699,0.552764,0.351104,0.492749,0.439225,0.0256175,0.794883,
semimem_r,0.132379,0.000270713,0.000650909,0,0.165262,0.0849404,0.101963,0.0409542,
semiten_r,0.13246,0,0,0.0007996,0.164725,0.0845183,0.102527,0.040566,
soleus_r,0.0991267,0.055243,0.0679858,0.0793414,0.0955359,0.0241273,0.0466962,0.0559949,
tfl_r,0.0641215,0.181262,0.172058,0.00492201,0.0748418,0.00143156,0.0487968,0,
tibant_r,0.000375415,0.375981,0.273463,0.562137,0.0587141,0.00496202,0.0393827,0.18172,
tibpost_r,0.0873894,0.0768367,0.0993176,0.088632,0.0777296,0.101209,0.0689506,0.0852703,
vasint_r,0,0.881132,0,0,0,0.00169505,0.353332,0.741316,
vaslat_r,0.0240034,0.00665308,4.96151e-05,0.00551858,0.0402965,0.00242273,0.0211751,0.0122933,
vasmed_r,0.0449615,0.00580682,0.00724926,0.00120053,0.0462076,8.95171e-06,0.0300709,0.0152815,
addbrev_l,0.000205592,0.000113388,0.00084686,0.0120362,0.187239,0.00963145,0.416498,0.0393939,
addlong_l,0.0208201,2.54628e-05,0.0297698,0.0135309,0.0190656,0.0130846,0.144633,0.293693,
addmagDist_l,0.0102057,0.114721,0.0286301,0.00205586,0.495726,6.2584e-06,0.130071,0,
addmagIsch_l,0.000361093,0.0278224,5.19425e-05,0.0373596,0.879455,0.0122919,0.0210482,0.0112737,
