time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,piri_r,
2.075,0.745395,1,0.739957,0.665429,0.737662,0.694571,0.108414,0.108544,0.111301,0.0869957,0.265011,0.153669,0.207198,0.435584,0.013878,0.0120127,0.00758495,0.763475,0.286831,0.213042,0.722803,0.691047,0.22544,0.630071,0.58011,0.658842,0.354262,0.816292,0.11726,0.461321,0.180923,0.180592,0.293465,0.762103,0.637971,0.398668,-0,-0,-0,0.296617,0.185466,0.250483,0.181666,0.153149,0.536947,0.253597,0.267243,0.186007,0.178361,0.160045,0.171009,0.270824,0.273514,0.747591,0.418383,0.6253,0.318256,0.298386,0.436563,0.20412,0.228367,0.276103,0.18452,0.571773,0.159389,0.168821,0.50344,0.263803,0.466802,0.252774,0.396877,0.187581,0.30948,0.249202,0.157845,0.259579,0.212301,0.232763,0.124392,
2.08,0.724739,1,0.71773,0.651199,0.715896,0.672589,0.153219,0.151459,0.129179,0.10235,0.375691,0.15702,0.271409,0.561408,0.0187277,0.0155215,0.00760933,0.911579,0.294879,0.20063,0.839854,0.768887,0.203303,0.767332,0.718249,0.876133,0.453519,0.825392,0.116715,0.464402,0.253888,0.253238,0.360362,1,0.891707,0.402756,-0,-0,-0,0.360175,0.203485,0.26831,0.183227,0.157747,0.669497,0.254066,0.26768,0.185727,0.178283,0.163108,0.174016,0.272279,0.288708,0.779701,0.514974,0.689026,0.394405,0.366792,0.475134,0.241913,0.2713,0.285353,0.183823,0.633367,0.162163,0.171911,0.560957,0.285199,0.571376,0.290391,0.411724,0.201711,0.345179,0.276029,0.160808,0.285788,0.2231,0.256217,0.127923,
2.085,0.69262,1,0.696527,0.645,0.684875,0.656359,0.192517,0.187939,0.134438,0.108855,0.474165,0.149619,0.316545,0.64554,0.0224817,0.0178582,0.00723352,0.973229,0.28028,0.186772,0.884242,0.777256,0.194727,0.834713,0.793378,1,0.518678,0.79771,0.116628,0.447875,0.31674,0.315752,0.395004,1,1,0.380991,-0,-0,-0,0.39402,0.202992,0.263676,0.174735,0.152262,0.758001,0.243185,0.257065,0.17739,0.170136,0.155562,0.165711,0.263099,0.27674,0.767826,0.477612,0.661237,0.372708,0.352353,0.467216,0.258868,0.262322,0.276152,0.178374,0.651864,0.15449,0.163939,0.577597,0.282506,0.634017,0.302889,0.398275,0.198565,0.351063,0.278055,0.153369,0.286804,0.216293,0.256499,0.131956,
2.09,0.670362,1,0.685071,0.643162,0.66417,0.648986,0.226824,0.218718,0.122627,0.0956744,0.561849,0.136322,0.34668,0.698171,0.0253207,0.0192979,0.00684513,0.974302,0.233498,0.127646,0.881036,0.740985,0.0884856,0.855859,0.826165,1,0.557467,0.782215,0.116617,0.443506,0.370526,0.369182,0.407763,1,1,0.338456,-0,-0,-0,0.407771,0.195666,0.251809,0.163601,0.148691,0.818853,0.229445,0.251424,0.167994,0.161776,0.145671,0.154755,0.253124,0.26845,0.787992,0.518574,0.697802,0.397477,0.347806,0.453324,0.263994,0.246595,0.25842,0.171113,0.643222,0.144346,0.15418,0.568611,0.26883,0.668633,0.299955,0.387067,0.187175,0.341739,0.26804,0.143363,0.276057,0.203069,0.24605,0.0473312,
2.095,0.667445,1,0.691514,0.660303,0.662894,0.659968,0.256587,0.244465,0.132352,0.105029,0.640009,0.128355,0.364649,0.726164,0.0274193,0.0200982,0.0069145,0.944312,0.201405,0.119542,0.854369,0.693476,0.110841,0.848199,0.83009,1,0.577497,0.768999,0.140272,0.444602,0.416194,0.414534,0.404841,1,1,0.311501,0.000689996,-0,0.00107602,0.408947,0.186203,0.239945,0.157724,0.151191,0.861646,0.225066,0.246804,0.166392,0.159405,0.139833,0.148328,0.254612,0.278432,0.794033,0.533395,0.703039,0.421209,0.379314,0.475426,0.263752,0.272388,0.2456,0.171568,0.6234,0.138304,0.148178,0.549086,0.253917,0.685173,0.290376,0.375246,0.17632,0.326759,0.254474,0.137505,0.262154,0.191934,0.233014,0.0868701,
2.1,0.675117,1,0.704646,0.678636,0.671755,0.675958,0.282265,0.265777,0.133415,0.104818,0.709703,0.122221,0.372858,0.734967,0.0289503,0.0205064,0.00789647,0.892678,0.159287,0.0829664,0.811153,0.635997,0.0446064,0.823705,0.816959,1,0.582901,0.783199,0.17049,0.469325,0.45461,0.452687,0.39083,1,1,0.281234,0.00224519,-0,0.00378752,0.401635,0.179017,0.233809,0.154889,0.158356,0.892287,0.226245,0.249012,0.169622,0.161709,0.137859,0.14592,0.261868,0.292581,0.840259,0.639886,0.778429,0.522038,0.445388,0.503463,0.264876,0.302186,0.234976,0.172908,0.594066,0.135827,0.146386,0.521289,0.240904,0.688558,0.277713,0.377236,0.167922,0.311107,0.241436,0.13529,0.249478,0.184318,0.221285,0.035163,
2.105,0.684537,1,0.71588,0.690181,0.681786,0.688153,0.304249,0.283189,0.177557,0.14641,0.771869,0.120429,0.373347,0.728951,0.0300751,0.0207433,0.00999649,0.833472,0.130848,0.0760835,0.762337,0.582625,0.0536114,0.790519,0.792777,1,0.578154,0.792696,0.203874,0.492096,0.486563,0.484431,0.369425,1,1,0.263129,0.00406412,-0,0.00739018,0.389325,0.173758,0.231016,0.156168,0.163976,0.914458,0.231708,0.253048,0.17468,0.165698,0.138971,0.14651,0.270865,0.301698,0.863405,0.681278,0.800163,0.569794,0.512545,0.554384,0.269393,0.358088,0.232889,0.178431,0.562593,0.13636,0.147399,0.492231,0.231442,0.682918,0.265296,0.379548,0.163047,0.297263,0.230779,0.136386,0.239306,0.180844,0.212094,0.0921192,
2.11,0.690075,1,0.720906,0.692564,0.687451,0.692688,0.322901,0.297183,0.191557,0.161656,0.827309,0.120826,0.367841,0.711665,0.0309385,0.020993,0.0131939,0.77051,0.102405,0.0580207,0.710487,0.531541,0.0217823,0.753916,0.763823,1,0.565802,0.81808,0.239206,0.527809,0.512745,0.510479,0.34337,1,1,0.245938,0.00641216,0.00113195,0.0112452,0.374132,0.171726,0.234331,0.159195,0.172791,0.930566,0.240639,0.260041,0.182545,0.172429,0.14272,0.149881,0.282954,0.318677,0.89932,0.759756,0.853904,0.656456,0.578212,0.587787,0.280264,0.394839,0.23312,0.183992,0.52973,0.139383,0.151148,0.462748,0.225928,0.670665,0.254504,0.39003,0.162056,0.286679,0.223411,0.140083,0.232878,0.181008,0.206381,0.0723982,
2.115,0.688952,1,0.718187,0.685718,0.686115,0.688514,0.338556,0.308189,0.25059,0.218403,0.876725,0.122175,0.35779,0.686001,0.0316658,0.0214006,0.017331,0.708025,0.0790843,0.0460374,0.658938,0.484985,0.010336,0.717267,0.732247,1,0.548266,0.833722,0.275343,0.558459,0.533806,0.531485,0.31487,1,1,0.231083,0.0104396,0.00604069,0.015,0.357509,0.171396,0.239516,0.162916,0.176572,0.942194,0.24838,0.266644,0.187705,0.177099,0.146737,0.153028,0.29063,0.322251,0.922739,0.809792,0.881046,0.714275,0.653115,0.641765,0.298146,0.45915,0.238538,0.189598,0.497994,0.142557,0.154935,0.435195,0.222918,0.653564,0.245936,0.397177,0.163199,0.278858,0.218581,0.144322,0.228794,0.183033,0.202891,0.123908,
2.12,0.680318,1,0.707707,0.670554,0.677087,0.676014,0.351535,0.316589,0.301677,0.269402,0.920743,0.127389,0.344408,0.654327,0.0323618,0.0220728,0.0221908,0.648641,0.0612445,0.0400878,0.609849,0.443887,0.00428964,0.682614,0.701485,1,0.527554,0.859539,0.31098,0.605194,0.550309,0.548008,0.285535,1,1,0.22028,0.0151813,0.0131973,0.0185167,0.341007,0.174286,0.250821,0.170317,0.190161,0.950446,0.263165,0.280715,0.198161,0.18643,0.154447,0.159755,0.30818,0.349219,0.961461,0.890363,0.936166,0.81474,0.753564,0.713907,0.326567,0.539605,0.248752,0.201579,0.469997,0.149217,0.162377,0.411899,0.224325,0.633414,0.241276,0.409747,0.169084,0.275411,0.217716,0.152387,0.228801,0.18929,0.203256,0.15922,
