time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,piri_r,
2.075,0.641609,0.641609,0.641609,0.641609,0.641609,0.641609,0.05742,0.05742,0.0954454,0.0725823,0.121573,0.10451,0.115528,0.244149,0.005335,0.005335,0.005335,0.481815,0.18847,0.154872,0.436855,0.45137,0.20192,0.389405,0.351124,0.337731,0.190023,0.594167,0.065742,0.381133,0.096289,0.096289,0.179839,0.419056,0.341636,0.302622,0,0,0,0.127388,0.106144,0.133202,0.119394,0.126783,0.154929,0.11727,0.11458,0.138121,0.120204,0.126489,0.13517,0.125075,0.133976,0.477741,0.203271,0.377508,0.152717,0.145256,0.243977,0.065019,0.127284,0.130658,0.11045,0.197887,0.12597,0.133439,0.17366,0.127135,0.192927,0.0740219,0.173494,0.0799291,0.137889,0.129488,0.123192,0.127108,0.127171,0.128665,0.0964983,
2.08,0.641609,0.641609,0.641609,0.641609,0.641609,0.641609,0.05742,0.05742,0.123916,0.099652,0.130105,0.11144,0.115528,0.244149,0.005335,0.005335,0.005335,0.466997,0.168507,0.14217,0.42645,0.435555,0.176296,0.389405,0.373546,0.346878,0.18928,0.643851,0.065742,0.423596,0.096289,0.096289,0.179839,0.419056,0.341636,0.29643,0,0,0,0.13279,0.118563,0.149927,0.128666,0.13847,0.168514,0.127567,0.12552,0.149785,0.130591,0.137941,0.146344,0.136439,0.146086,0.55326,0.280012,0.452391,0.214434,0.198082,0.2837,0.10261,0.161361,0.141741,0.117075,0.196796,0.136256,0.144948,0.173735,0.137354,0.195286,0.0827517,0.203285,0.089272,0.149998,0.141149,0.134369,0.138939,0.138718,0.140507,0.101822,
2.085,0.641609,0.641609,0.641609,0.641609,0.641609,0.641609,0.05742,0.05742,0.121699,0.0989528,0.121191,0.103583,0.115528,0.244149,0.005335,0.005335,0.005335,0.46123,0.167634,0.139068,0.420054,0.430519,0.178634,0.389405,0.354496,0.333653,0.184452,0.602963,0.065742,0.397632,0.096289,0.096289,0.179839,0.419056,0.341636,0.288739,0,0,0,0.125873,0.108918,0.136209,0.120758,0.128362,0.157631,0.118539,0.116239,0.139446,0.121107,0.128088,0.135917,0.126643,0.135437,0.509007,0.23831,0.409043,0.182566,0.176092,0.267619,0.0844208,0.1483,0.135116,0.111686,0.189856,0.126944,0.135079,0.16808,0.127886,0.185761,0.0754355,0.175413,0.0806467,0.139741,0.131233,0.124753,0.128484,0.128733,0.130102,0.105201,
2.09,0.641609,0.641609,0.641609,0.641609,0.641609,0.641609,0.05742,0.05742,0.103203,0.0754141,0.0989777,0.0856531,0.115528,0.244149,0.005335,0.005335,0.005335,0.343494,0.0261023,0.0332776,0.31767,0.309828,0.0196829,0.389405,0.383162,0.300679,0.133916,0.675756,0.065742,0.422472,0.096289,0.096289,0.179839,0.419056,0.341636,0.20698,1.24709e-18,0,2.49419e-18,0.108621,0.115903,0.139712,0.112718,0.126854,0.168609,0.110746,0.12061,0.132644,0.117108,0.122004,0.12855,0.12175,0.131443,0.558922,0.276883,0.457965,0.207756,0.17555,0.256678,0.0895501,0.137715,0.119397,0.106048,0.121466,0.12004,0.13127,0.117294,0.119674,0.137894,0.0634834,0.201539,0.0719323,0.135052,0.126588,0.117689,0.125126,0.121101,0.126083,0.0152305,
2.095,0.668426,0.668426,0.668426,0.668426,0.668426,0.668426,0.059152,0.059152,0.123617,0.0997494,0.118332,0.101159,0.09123,0.200709,0.006676,0.006676,0.006676,0.421391,0.121035,0.103261,0.386526,0.389487,0.123839,0.404199,0.375231,0.327732,0.168344,0.653348,0.082277,0.427779,0.100607,0.100607,0.145969,0.425414,0.40296,0.261809,0.001027,0,0.002054,0.122735,0.115388,0.145558,0.12139,0.132165,0.163336,0.120788,0.117856,0.143614,0.124184,0.130877,0.138606,0.129873,0.139541,0.55604,0.284557,0.458172,0.222558,0.200677,0.280797,0.105032,0.159907,0.133573,0.111639,0.169875,0.129006,0.138531,0.152872,0.129614,0.174279,0.0762612,0.189978,0.0821274,0.143279,0.134305,0.126867,0.132589,0.130798,0.13381,0.0792899,
2.1,0.686382,0.686382,0.686382,0.686382,0.686382,0.686382,0.061744,0.061744,0.119125,0.0915786,0.111116,0.0955684,0.07174,0.162117,0.009643,0.009643,0.009643,0.329024,0.0150552,0.0240663,0.307693,0.294855,0.000735908,0.417608,0.420245,0.311909,0.132669,0.765799,0.10136,0.490517,0.104162,0.104162,0.116929,0.43291,0.470122,0.20084,0.0028725,0,0.005745,0.116118,0.129961,0.166887,0.122103,0.140609,0.177909,0.125165,0.125366,0.150912,0.130724,0.136493,0.143776,0.136326,0.148142,0.65532,0.385597,0.562057,0.310684,0.250304,0.303487,0.148452,0.179923,0.127351,0.112293,0.124708,0.133165,0.14567,0.119285,0.132943,0.147802,0.0765654,0.226954,0.0854808,0.150116,0.140468,0.131392,0.140998,0.134989,0.141375,0.013606,
2.105,0.694333,0.694333,0.694333,0.694333,0.694333,0.694333,0.064956,0.064956,0.181362,0.156485,0.124225,0.105095,0.056523,0.128734,0.013744,0.013744,0.013744,0.369343,0.0667251,0.0626764,0.344739,0.33636,0.0595933,0.429464,0.406277,0.326687,0.156238,0.728675,0.122693,0.499987,0.107026,0.107026,0.0926285,0.441377,0.540381,0.229838,0.0045755,1.17267e-18,0.009151,0.124481,0.130592,0.168196,0.130147,0.144486,0.177697,0.131885,0.12777,0.156354,0.134714,0.143014,0.149352,0.141986,0.152761,0.67618,0.417008,0.581526,0.337988,0.300288,0.35084,0.175004,0.222396,0.146544,0.118753,0.153893,0.139176,0.150884,0.142459,0.139343,0.16421,0.0857355,0.216314,0.0916182,0.156233,0.146568,0.13869,0.145105,0.142682,0.146167,0.0872359,
2.11,0.692314,0.692314,0.692314,0.692314,0.692314,0.692314,0.068522,0.068522,0.176873,0.149965,0.126389,0.107371,0.045036,0.100607,0.018569,0.018569,0.018569,0.321628,0.0182386,0.0264066,0.304187,0.287953,0.000883858,0.439468,0.443945,0.323039,0.140954,0.825214,0.145847,0.559064,0.109211,0.109211,0.0728215,0.450334,0.610145,0.200865,0.0069555,0.00169,0.012221,0.125599,0.142993,0.191686,0.133674,0.154126,0.187877,0.140211,0.134127,0.166946,0.143665,0.151578,0.158078,0.150873,0.163978,0.759424,0.51253,0.672254,0.428636,0.354503,0.376274,0.222184,0.246304,0.144114,0.12217,0.136913,0.146661,0.160048,0.130231,0.14652,0.158067,0.0910127,0.244168,0.0996578,0.165144,0.154823,0.146747,0.155531,0.150399,0.155857,0.0504941,
2.115,0.681139,0.681139,0.681139,0.681139,0.681139,0.681139,0.072181,0.072181,0.256113,0.23111,0.130576,0.109084,0.036739,0.077532,0.023819,0.023819,0.023819,0.307134,0.0198116,0.0271914,0.293406,0.275015,0.00512768,0.447795,0.426986,0.316478,0.145809,0.790964,0.1702,0.575831,0.110608,0.110608,0.0571355,0.459474,0.674962,0.193381,0.011501,0.008025,0.014977,0.125715,0.143537,0.191974,0.137102,0.154609,0.187747,0.142331,0.136816,0.16629,0.143379,0.153688,0.157676,0.152245,0.164187,0.799577,0.575496,0.714007,0.483233,0.427128,0.433579,0.265005,0.300629,0.159258,0.126095,0.140738,0.147721,0.161126,0.135162,0.147413,0.152318,0.0955803,0.232993,0.10176,0.166679,0.156741,0.149927,0.155199,0.153513,0.156132,0.111102,
2.12,0.662125,0.662125,0.662125,0.662125,0.662125,0.662125,0.07568,0.07568,0.297921,0.2715,0.148109,0.124291,0.03107,0.059107,0.029263,0.029263,0.029263,0.295963,0.0184976,0.0280161,0.285433,0.264463,0.00124879,0.454717,0.460766,0.329866,0.157338,0.876937,0.194909,0.653728,0.111049,0.111049,0.0450885,0.468993,0.730241,0.193989,0.016013,0.014544,0.017482,0.137462,0.160739,0.225186,0.150982,0.172319,0.202606,0.160916,0.152345,0.184813,0.158829,0.172255,0.175434,0.169816,0.184156,0.921671,0.722098,0.838804,0.631565,0.548154,0.517134,0.348595,0.371845,0.173866,0.138739,0.154133,0.164743,0.179544,0.148539,0.164328,0.167514,0.1112,0.259351,0.119895,0.184643,0.174094,0.16869,0.173009,0.172382,0.174276,0.134775,
