iteration,loss,learning rate,
1,382.795,0.02,
2,342.405,0.02,
3,325.989,0.02,
4,314.761,0.02,
5,301.984,0.02,
6,288.007,0.02,
7,278.558,0.02,
8,271.774,0.02,
9,267.48,0.02,
10,261.845,0.02,
11,258.179,0.02,
12,258.202,0.02,
13,259.351,0.02,
14,260.244,0.02,
15,257.46,0.02,
16,254.083,0.02,
17,253.984,0.02,
18,256.748,0.02,
19,262.212,0.02,
20,265.573,0.02,
21,264.765,0.02,
22,260.918,0.02,
23,263.219,0.02,
24,268.208,0.02,
25,270.073,0.02,
26,235649,0.02,
27,278.808,0.02,
28,283.319,0.02,
29,286.101,0.02,
30,284.596,0.02,
31,283.48,0.02,
32,285.473,0.02,
33,290.988,0.02,
34,298.171,0.02,
35,304.546,0.02,
36,307.747,0.02,
