time,hip_flexion_r,hip_flexion_r_id,hip_adduction_r,hip_adduction_r_id,hip_rotation_r,hip_rotation_r_id,knee_angle_r,knee_angle_r_id,ankle_angle_r,ankle_angle_r_id,
2.075,83.2378,-68.025,21.4057,-7.63307,7.95604,0.802965,19.5339,22.5091,-10.6266,2.94077,
2.08,49.5444,-24.1614,-47.2188,-18.6346,-0.991436,1.28095,24.4851,11.3765,-30.6104,3.60224,
2.085,80.3435,18.5102,-36.136,-28.0236,2.59201,2.148,-4.99344,0.518844,-16.8739,4.31707,
2.09,60.0003,59.434,-92.1883,-36.2192,3.7197,3.34245,-8.7974,-9.87162,-8.54692,5.07181,
2.095,80.3414,98.0848,-54.1781,-43.1586,4.8781,4.76939,-18.8336,-19.6111,-2.02474,5.84805,
2.1,70.9574,133.989,-93.5898,-49.1133,6.67038,6.3822,-27.4385,-28.5661,1.22814,6.62915,
2.105,84.2121,166.745,-45.2753,-54.2818,9.81255,8.1465,-24.6998,-36.6389,2.02234,7.39884,
2.11,74.4857,196.072,-81.0907,-58.2685,8.32523,9.91097,-28.9733,-43.7735,2.24296,8.14107,
2.115,88.189,221.726,-38.3961,-61.0907,11.4754,11.5905,-31.2887,-49.9393,1.42164,8.84312,
2.12,76.7338,243.523,-68.5684,-62.7906,9.79788,13.1142,-30.2423,-55.1307,-0.446191,9.49361,
2.125,80.8146,261.347,-37.7019,-62.7111,11.6203,14.191,-31.866,-59.338,-3.6068,10.0807,
2.13,69.9246,275.11,-50.1429,-61.3593,12.5072,14.8735,-20.6565,-62.6206,-7.48932,10.5958,
2.135,143.957,284.722,-74.6645,-58.5661,9.1302,15.0179,-126.547,-65.0325,-11.7631,11.0295,
2.14,62.5952,290.105,-41.8689,-54.2321,14.2989,14.4967,-22.3676,-66.6255,-15.9083,11.372,
2.145,59.1236,291.171,-33.4611,-48.8421,15.1616,13.4625,-25.4202,-67.4013,-19.1294,11.6105,
2.15,55.158,287.902,-33.4555,-41.807,15.8024,11.6017,-26.2137,-67.3684,-20.5507,11.7308,
2.155,54.3728,280.296,-28.9146,-33.8306,16.6926,9.24248,-27.8434,-66.5663,-20.2526,11.7222,
2.16,50.1953,268.557,-28.6432,-24.6413,17.0713,6.25007,-27.6348,-65.0368,-18.729,11.5746,
2.165,45.1557,252.891,-24.8717,-14.4697,17.346,2.7677,-25.8107,-62.8216,-16.9534,11.2798,
2.17,37.7906,233.603,-23.0254,-3.62639,17.1066,-0.986818,-23.6611,-59.9847,-15.5597,10.8336,
2.175,31.4899,211.26,-18.7328,7.96973,16.8816,-5.08156,-22.171,-56.6447,-14.6921,10.2397,
2.18,22.6644,186.507,-14.965,19.554,16.0975,-9.03229,-20.189,-52.9367,-14.1924,9.50948,
2.185,14.1511,160.214,-10.4002,30.9284,15.1658,-12.8098,-19.4927,-49.0489,-14.0379,8.6644,
2.19,4.98051,133.189,-7.31219,41.4569,13.8252,-16.1097,-19.9127,-45.1755,-14.1484,7.73369,
2.195,-9.48165,106.256,-2.68368,50.4934,12.3306,-18.6617,-18.1863,-41.5235,-14.6618,6.75509,
2.2,-21.1959,80.3205,1.19793,57.6583,10.8571,-20.4855,-19.0166,-38.2963,-16.1498,5.77217,
2.205,-34.325,56.0645,4.55848,62.2252,9.33294,-21.2957,-20.1601,-35.6521,-18.3917,4.8327,
2.21,-47.1061,34.1188,6.80458,63.7403,8.03815,-21.0191,-22.3386,-33.7081,-21.6527,3.98413,
2.215,-54.8487,15.0022,9.57055,61.9437,7.14459,-19.6896,-24.8613,-32.5231,-25.7929,3.26986,
2.22,-65.4606,-0.909844,10.2611,56.76,6.47281,-17.3912,-27.4267,-32.0906,-29.996,2.72587,
2.225,-74.0161,-13.3798,11.0317,48.3453,5.79055,-14.2653,-29.0351,-32.3408,-34.8524,2.37747,
2.23,-82.5943,-22.3227,10.8934,37.0675,5.37377,-10.4661,-29.3722,-33.1473,-39.7842,2.23719,
2.235,-96.7929,-27.7964,9.2195,23.5121,3.98427,-6.16778,-28.4915,-34.3382,-44.4096,2.30324,
2.24,-87.5238,-30.0016,9.36557,8.4451,8.58711,-1.55829,-25.9157,-35.7071,-48.6236,2.55909,
2.245,-109.293,-29.2838,3.37313,-7.24343,6.38702,3.1643,-21.7252,-37.0227,-52.2886,2.97409,
2.25,-115.47,-26.1349,-2.99234,-22.6105,9.18231,7.79091,-16.0146,-38.0354,-55.3985,3.50513,
2.255,-70.1103,-21.1923,-19.9138,-36.7347,11.0901,12.0985,-35.9122,-38.4826,-57.9663,4.09933,
2.26,-120.299,-15.2328,-12.9163,-48.7847,14.0188,15.8482,-1.72992,-38.0921,-59.8695,4.69769,
2.265,-120.622,-9.15926,-15.0007,-58.0718,15.721,18.7889,7.20216,-36.5871,-61.2749,5.23935,
2.27,-120.831,-3.97676,-18.6118,-64.0855,18.2409,20.6718,15.7984,-33.693,-62.0018,5.66645,
2.275,-118.219,-0.758877,-18.6162,-66.5148,19.2506,21.2827,24.1514,-29.1474,-62.2045,5.92915,
2.28,-116.579,-0.605476,-19.3874,-65.2772,20.5386,20.5051,32.7393,-22.716,-61.608,5.99041,
2.285,-113.458,-4.55252,-17.3952,-60.4782,20.2007,18.3259,41.4254,-14.2129,-60.4193,5.82916,
2.29,-113.161,-13.503,-16.3716,-52.4553,20.5435,14.9196,49.4055,-3.52585,-58.3027,5.44284,
2.295,-111.907,-28.0082,-11.6219,-41.4568,19.0187,10.3982,57.3921,9.34687,-55.6083,4.84419,
2.3,-112.408,-48.4218,-8.9664,-28.299,18.5631,5.38074,65.873,24.2834,-51.7094,4.06597,
2.305,-113.653,-74.6323,-4.95853,-13.9246,17.2656,0.546609,73.6606,41.0036,-47.3991,3.15248,
2.31,-116.319,-105.918,-2.09105,0.956198,16.7579,-3.66251,81.0364,59.0539,-42.2713,2.15187,
2.315,-120.323,-141.388,0.764828,14.9533,14.9256,-6.42084,88.5752,77.866,-37.108,1.1142,
2.32,-124.023,-179.538,6.37872,27.8185,16.9905,-7.80483,99.3637,96.7451,-31.4285,0.0770044,
2.325,-125.503,-218.758,8.10182,38.402,16.9463,-7.43407,111.437,114.986,-26.1873,-0.923868,
2.33,-142.99,-257.034,17.2201,46.9818,14.7385,-5.86136,123.25,131.883,-21.3153,-1.86824,
2.335,-151.01,-292.758,17.4836,53.3681,15.4478,-3.35289,135.366,146.857,-16.9148,-2.74093,
2.34,-163.223,-324.361,22.3604,58.2799,15.9369,-0.579265,150.105,159.471,-12.5015,-3.53449,
2.345,-172.177,-350.542,26.3965,62.2818,15.7227,1.98949,155.884,169.415,-8.5236,-4.2374,
2.35,-180.761,-370.34,31.1425,65.8139,15.1987,4.05416,162.789,176.514,-5.33432,-4.83422,
2.355,-186.725,-383.05,36.8474,69.6574,14.2978,5.31051,168.2,180.726,-3.36009,-5.30833,
2.36,-197.174,-388.489,35.5218,73.4839,14.9493,5.92288,171.783,182.155,-2.74862,-5.63576,
2.365,-199.023,-386.715,40.1732,77.3517,14.0742,5.93903,172.143,180.945,-3.54791,-5.79488,
2.37,-201.498,-378.164,40.8224,80.7868,14.0851,5.56385,169.845,177.274,-5.87463,-5.76602,
2.375,-201.074,-363.565,40.7621,83.081,14.0214,5.02411,165.736,171.359,-9.82836,-5.53633,
2.38,-199.09,-343.782,38.8229,83.7266,14.0911,4.45606,159.379,163.455,-15.5157,-5.10387,
2.385,-194.417,-319.769,37.8957,82.3335,14.1019,3.94811,150.4,153.837,-23.2431,-4.47895,
2.39,-188.91,-292.518,33.8522,78.6526,14.1243,3.55354,139.609,142.804,-33.172,-3.68469,
2.395,-180.665,-281.368,28.5041,58.8494,14.0628,7.10331,127.136,131.258,-45.9459,-10.6007,
2.4,-171.867,-282.062,22.2509,46.4281,13.898,9.48912,123.34,127.541,-61.4173,-20.3406,
2.405,-162.629,-289.57,15.4337,31.7057,13.5561,12.5916,81.3868,124.482,-79.0455,-32.7235,
2.41,-153.354,-302.406,8.15479,15.8383,12.9976,16.1394,76.282,121.255,-98.158,-47.7934,
2.415,-144.047,-317.615,1.09039,0.668034,12.2375,19.6104,54.3602,116.871,-117.582,-65.2986,
2.42,-134.619,-331.072,-6.37144,-11.8982,11.1346,22.3059,34.4387,110.206,-136.321,-84.8015,
2.425,-125.224,-336.97,-13.4654,-21.363,9.68653,23.6908,12.3407,99.4178,-153.691,-105.777,
2.43,-115.278,-329.279,-20.1426,-28.5482,8.07609,23.63,-9.80376,82.6485,-169.495,-127.565,
2.435,-105.105,-306.673,-25.758,-34.3459,6.31737,22.4069,-30.9411,60.4012,-182.917,-149.527,
2.44,-97.6648,-273.411,-33.166,-39.5468,3.04816,20.6631,-50.1341,35.5126,-193.406,-171.025,
2.445,-89.838,-235.946,-39.1678,-44.798,-0.0928111,19.0904,-66.3547,11.2554,-201.528,-191.365,
2.45,-81.4281,-199.604,-43.3781,-50.5033,-2.61756,18.1606,-78.8503,-10.0845,-207.778,-209.854,
2.455,-72.9149,-167.292,-47.1138,-56.9368,-4.91558,18.0641,-87.4053,-27.5542,-212.104,-225.878,
2.46,-64.1807,-140.269,-48.7215,-64.0173,-8.19648,18.7395,-91.7435,-40.9067,-214.196,-238.951,
2.465,-57.1755,-119.174,-55.9416,-71.2273,-6.5216,19.9465,-91.741,-50.0059,-213.669,-248.72,
2.47,-49.2344,-103.973,-55.5408,-77.9542,-9.57774,21.3725,-87.3161,-54.9091,-209.87,-254.948,
2.475,-41.2878,-93.7106,-54.0581,-83.8377,-11.358,22.7379,-79.3965,-56.0627,-202.981,-257.484,
2.48,-34.9421,-86.9884,-63.2137,-88.7533,-10.0669,23.8467,-69.0475,-54.0943,-192.458,-256.248,
2.485,-26.8859,-82.4889,-56.6228,-92.7367,-12.4567,24.5983,-57.3628,-49.5943,-178.151,-251.234,
2.49,-19.4993,-79.0737,-55.0246,-95.9701,-13.2254,24.9771,-45.3147,-43.1196,-159.98,-242.523,
2.495,-12.945,-75.7545,-52.8624,-98.7079,-13.7041,25.0236,-33.3723,-35.2501,-138.997,-230.288,
