time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,piri_r,
2.075,488.768,384.636,330.329,0,695.68,230.025,155.27,30.3871,900.581,426.834,23.5266,0,77.8568,0,15.3125,21.8374,13.1679,94.8335,76.0408,90.7434,76.3238,175.433,0.00312797,127.086,585.382,46.6615,75.3426,819.474,289.366,147.966,0,352.754,1466.74,339.779,1656.38,0,0,0,0,137.186,141.798,1022.57,957.659,0,0.121934,3943.77,692.034,207.908,42.2765,78.2712,150.636,1025.11,1787.11,914.98,1140.49,1232.59,3312.5,907.98,1450.51,437.582,2087.33,1437.02,186.174,261.886,75.2495,177.867,361.804,514.751,108.368,6834.94,689.489,4334.06,41.6791,356.731,390.196,467.229,1236.07,661.411,0,
2.08,144.995,514.133,374.469,0,0.156393,234.933,193.739,47.5941,900.581,426.829,26.8995,0,138.122,0,20.6665,27.727,13.3039,114.16,86.7343,102.642,137.23,241.647,0.00231566,9.67669,597.117,55.4558,78.1236,829.967,289.249,152.248,0,366.286,2153.28,346.929,1644.06,0,0,0,0,163.521,169.825,1025.83,962.845,0,1.34074,3951.58,692.218,213.309,43.398,81.3206,156.48,1054.89,1863.34,1189.88,1199.2,1247.47,3405.68,1183.7,1557.42,920.161,2084.02,1463.92,188.572,313.806,79.9329,186.968,449.93,536.395,121.408,6849.35,709.927,4452.76,47.6695,361.545,401.584,505.642,1394.46,759.094,0,
2.085,305.74,499.723,361.143,0,715.204,202.234,135.819,22.8037,903.719,428.357,26.8027,0,87.8779,0,29.4681,35.6282,10.4774,123.133,107.778,124.905,142.744,341.83,20.2811,100.013,606.422,55.0358,76.7846,819.248,431.985,123.938,0,304.363,1936.3,371.551,1669.19,0,34.0229,120.748,56.728,139.885,176.772,874.534,864.742,0,0,4134.75,994.066,230.79,50.5066,80.3015,151.561,1246.43,2326.1,715.526,846.307,793.643,4130.35,1611.15,1213.09,1057.91,2139.86,1657.41,210.652,526.158,77.9578,183.195,685.895,506.046,180.842,7351.22,864.11,3992.69,79.6745,415.12,392.757,358.711,1047.6,557.441,9.50125,
2.09,237.282,493.911,351.618,0,31.5353,183.951,99.1733,23.9724,904.081,428.474,26.71,0,55.1713,0,33.8888,38.3113,8.69254,142.363,115.237,132.686,149.309,378.891,0,27.8214,616.088,54.1722,75.3691,823.684,570.964,112.728,0,256.563,1844.89,391.953,1691.74,0,33.6145,116.265,59.2217,146.567,183.303,815.008,804.635,0,0,4279.68,1087.84,244.048,56.9152,79.2568,146.983,1405.19,2685.9,1200.48,815.077,779.334,4519.66,1787.88,1013.92,1150.98,2100.36,1764.19,219.936,579.601,76.0021,179.528,769.347,468.205,189.356,7796.82,905.648,3614.02,97.5215,449.74,384.271,259.013,786.846,412.863,9.12692,
2.095,223.249,485.856,344.256,0,685.921,173.915,68.7956,21.1685,903.974,428.41,26.5684,0,14.6216,0,36.5357,39.8869,8.75253,113.382,105.387,121.709,156.94,392.592,0.0511752,29.0017,619.258,52.3815,71.3976,829.193,733.581,106.383,0,219.326,1774.09,409.556,1710.53,0,42.7035,154.673,75.4996,142.813,186.497,768.003,758.614,0,0,4392.3,1146.8,253.608,61.6994,78.0622,142.573,1508.17,2879.51,835.525,830.091,722.039,4828.63,1863.51,891.82,1212.2,2070.09,1835.57,226.258,580.996,73.9766,175.674,787.806,425.923,191.316,8194.11,917.898,3300.16,107.85,468.354,375.859,184.025,567.219,299.508,13.7591,
2.1,216.119,474.399,338.807,0,26.1225,168.646,43.3795,18.1712,903.721,428.284,26.4682,0,2.14773,0,39.0991,41.4629,10.6506,96.6606,92.544,102.877,165.59,399.336,2.57249,22.5119,641.949,50.2761,68.7802,857.914,863.155,106.621,0,188.026,1728.3,425.13,1727.3,0,45.3207,170.388,81.2032,136.973,187.569,721.242,720.983,0,0,4500.44,1215.01,261.315,66.1504,77.0096,138.817,1597.33,3093.19,1161.97,934.545,677.007,5137.63,1872.32,810.488,1249.76,2062.26,1892.82,233.113,569.241,72.3882,172.369,779.396,383.965,193.112,8550.08,925.67,3049.12,110.431,485.947,368.559,119.276,398.8,210.71,15.93,
2.105,211.217,458.809,332.732,0,688.958,164.997,19.6341,16.1125,903.378,428.119,26.3872,0,1.46629,0,42.1564,43.8043,14.7585,59.4749,72.3135,77.1395,175.177,405.193,4.23997,13.7062,643.227,47.7808,65.164,869.391,1004.9,106.566,0,156.652,1707.38,439.766,1741.16,0,45.9991,176.762,86.6323,128.844,186.883,679.425,684.926,0,0,4589.48,1289.54,267.056,69.1171,76.0107,135.638,1652.53,3121.55,631.745,975.033,672.572,5413.42,1839.01,760.307,1267.68,2058.79,1936.13,240.05,548.128,71.1398,169.41,759.332,347.565,194.543,8870.74,939.736,2854.72,108.387,498.272,362.211,51.301,184.189,85.9963,16.7491,
2.11,206.005,438.98,326.697,0,26.0701,160.839,21.1045,16.6784,902.957,427.916,26.4382,0,2.06003,0,44.7971,45.5591,20.9179,39.9781,53.7965,53.5598,178.603,399.826,5.04651,27.1912,656.79,45.4914,63.0077,888.493,1155.53,106.651,0,131.341,1710.04,454.104,1751.76,0,46.1533,180.282,92.8752,119.862,186.418,640.505,651.042,0,0,4664.49,1378.67,272.584,72.0679,75.2661,133.339,1710.75,3198.18,1716.67,1053.5,706.199,5640.79,1779.35,709.921,1268.33,2055.47,1964.93,247.095,524.443,70.587,167.311,733.124,319.27,196.068,9147.73,959.215,2715.83,107.625,514.51,357.509,129.756,165.247,196.908,16.718,
2.115,196.831,415.829,321.241,0,684.359,154.507,6.18667,17.0446,902.472,427.684,26.624,0,5.7782,0,46.8155,49.0097,27.8198,32.5162,39.6443,36.9298,169.182,380.849,5.54503,19.9677,658.659,43.5616,61.7945,901.651,1320.77,104.165,0,109.96,1734.18,468.061,1759.03,0,45.914,183.756,99.848,110.873,186.512,606.948,618.164,0,0,4716.28,1458.01,278.094,74.799,74.8639,132.117,1773.8,3298.69,1053.25,1125.82,718.329,5813.91,1703.74,747.712,1252.23,2051.8,1979.95,253.511,500.446,70.7636,166.27,707.007,303.344,197.888,9369.32,972.75,2625.49,107.881,530.573,354.779,55.9113,88.6369,70.9604,16.1065,
2.12,178.601,390.672,316.989,0,18.7917,143.16,6.4661,14.9547,901.933,427.427,26.9775,0,18.472,0,51.4868,55.4875,41.4208,30.186,29.8319,26.655,159.971,358.21,5.8988,18.8007,647.044,42.0758,61.246,901.622,1490.93,102.158,0,88.0928,1776.06,481.347,1763.01,0,45.517,190.448,107.528,102.322,187.059,573.849,585.708,0,0,4735.94,1542.27,283.106,76.866,74.7506,131.775,1835.45,3398.3,1068.83,1171.19,721.093,5933.91,1619.83,693.349,1219.09,2047.99,1980.95,258.648,477.951,71.4588,166.108,679.301,300.464,200.142,9531.68,976.04,2576.69,108.853,542.484,353.705,34.9323,202.803,22.7659,15.0757,
