time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,piri_r,
2.075,0.78791,0.598047,0.713938,0.360355,0.686404,0.636698,1.01152,0.949783,1.44857,1.40524,0.512966,0.826006,0.744057,-0.946298,0.799591,0.829866,0.820181,0.792455,0.873415,0.827206,0.665867,0.826618,0.986207,0.643217,1.61635,0.694995,0.387324,1.06181,-0.299655,1.0647,1.18893,0.927071,0.885937,1.38409,1.3856,0.567372,0.351939,0.497138,0.779282,1.1793,1.01332,1.42541,1.46416,0.173165,0.444963,1.44655,1.28271,1.321,1.21257,1.19821,1.18106,1.25898,1.19329,1.06246,1.13756,1.15321,0.941933,1.08448,1.03532,0.699253,1.49251,1.4529,1.42361,0.700677,1.12558,1.15049,0.784576,0.909568,1.30672,1.50389,1.28493,1.43487,0.92937,1.23482,1.45193,1.19138,1.16042,1.16988,0.854379,
2.08,0.780822,0.563748,0.688009,0.360355,0.678292,0.636747,1.00844,0.948152,1.4481,1.40474,0.509949,0.822755,0.740243,-0.946298,0.799555,0.82983,0.820181,0.785064,0.873203,0.827274,0.670445,0.826139,0.986518,0.625252,1.61696,0.690149,0.387324,1.0615,-0.299655,1.06465,1.18469,0.924554,0.882223,1.38258,1.384,0.566094,0.351939,0.497138,0.779282,1.17866,1.0122,1.42527,1.46405,0.173165,0.44419,1.44635,1.28262,1.3205,1.21191,1.1969,1.17976,1.25853,1.1929,1.06236,1.13713,1.15301,0.941302,1.08382,1.03506,0.711624,1.49237,1.45273,1.4236,0.700019,1.12449,1.14916,0.778305,0.906923,1.30636,1.5033,1.28463,1.43409,0.926505,1.23319,1.45145,1.18968,1.15915,1.16828,0.854113,
2.085,0.781453,0.586351,0.704548,0.359763,0.679166,0.635189,1.00041,0.939772,1.44969,1.40667,0.505478,0.819343,0.733303,-0.9518,0.800165,0.829951,0.818964,0.789869,0.87597,0.829601,0.675009,0.830223,0.991134,0.629583,1.61818,0.684171,0.386283,1.06149,-0.270553,1.06305,1.17516,0.916997,0.876928,1.38374,1.38468,0.564921,0.365342,0.517501,0.802783,1.17738,1.01209,1.41751,1.45913,0.172178,0.442847,1.44889,1.29897,1.3226,1.21396,1.19576,1.17838,1.26123,1.19615,1.05847,1.13292,1.14845,0.950319,1.08638,1.03306,0.723543,1.51091,1.46144,1.42947,0.706508,1.12344,1.14794,0.784052,0.904184,1.31829,1.50755,1.28867,1.43,0.928517,1.23475,1.45054,1.1846,1.15513,1.1636,0.855582,
2.09,0.779133,0.564832,0.684091,0.358618,0.676373,0.633152,0.986738,0.932732,1.45241,1.41004,0.500309,0.816038,0.72319,-0.962852,0.800885,0.830135,0.817378,0.792471,0.880186,0.832658,0.67955,0.836186,0.999373,0.621172,1.61915,0.678888,0.384932,1.06153,-0.253374,1.06113,1.1593,0.902201,0.870848,1.38709,1.38684,0.56422,0.378947,0.536414,0.825083,1.17648,1.013,1.40799,1.4525,0.171026,0.440916,1.45292,1.32477,1.3269,1.21852,1.19489,1.17705,1.26746,1.20363,1.0545,1.12863,1.1436,0.962547,1.08967,1.03032,0.734877,1.53169,1.47351,1.43686,0.716433,1.12252,1.14692,0.789423,0.901505,1.33529,1.51447,1.29473,1.42401,0.935381,1.23903,1.44943,1.17683,1.14881,1.15642,0.863424,
2.095,0.776368,0.576992,0.698179,0.357323,0.673369,0.630852,0.973944,0.924067,1.45486,1.41304,0.494789,0.812671,0.707847,-0.975775,0.801701,0.830425,0.815778,0.796669,0.884613,0.835656,0.684056,0.842581,1.00674,0.616186,1.61978,0.674113,0.383378,1.06152,-0.226538,1.0588,1.13579,0.891892,0.864376,1.39262,1.38988,0.563583,0.396053,0.561857,0.853944,1.176,1.01477,1.39996,1.44509,0.169987,0.438732,1.45716,1.34748,1.33248,1.22493,1.19409,1.17558,1.27772,1.21647,1.05035,1.12435,1.13804,0.973307,1.09215,1.02645,0.745511,1.54947,1.48327,1.44404,0.726939,1.12155,1.14592,0.795868,0.898789,1.35054,1.5223,1.30118,1.41674,0.95206,1.24591,1.44811,1.16591,1.13985,1.14656,0.869521,
2.1,0.773405,0.559015,0.67834,0.356117,0.670235,0.628405,0.961532,0.914357,1.45725,1.41599,0.489207,0.809215,0.691294,-0.989239,0.802631,0.830875,0.81421,0.801699,0.889088,0.838656,0.688513,0.848946,1.01547,0.610385,1.62003,0.669795,0.381736,1.06126,-0.193796,1.05601,1.10393,0.874212,0.857882,1.40054,1.39334,0.563086,0.413904,0.589574,0.883826,1.17589,1.01712,1.3907,1.43719,0.1691,0.436541,1.46098,1.3693,1.33833,1.23211,1.19316,1.17385,1.29114,1.2336,1.0458,1.11948,1.13133,0.982199,1.09363,1.02203,0.755348,1.56614,1.49138,1.45086,0.737279,1.12038,1.14475,0.802661,0.895889,1.36546,1.52992,1.30722,1.40894,0.9847,1.25476,1.44659,1.15204,1.12813,1.13398,0.881644,
2.105,0.770253,0.57017,0.692853,0.355103,0.66703,0.625813,0.948008,0.903287,1.4582,1.41712,0.483776,0.805557,0.677643,-1.00902,0.803676,0.831523,0.81293,0.807176,0.893485,0.841126,0.69291,0.855077,1.0222,0.604327,1.61982,0.6659,0.38011,1.06083,-0.157296,1.05296,1.08002,0.866104,0.851694,1.41089,1.39684,0.562497,0.432017,0.618177,0.914058,1.17603,1.0198,1.38198,1.42896,0.168375,0.4344,1.46418,1.38987,1.34398,1.23917,1.19197,1.17179,1.30409,1.24974,1.04147,1.1145,1.12439,0.990804,1.09443,1.01684,0.764305,1.5816,1.4979,1.45718,0.747592,1.11896,1.14333,0.809491,0.89266,1.37994,1.53707,1.31275,1.40107,1.01309,1.26388,1.44489,1.13457,1.11026,1.11516,0.878868,
2.11,0.766925,0.554891,0.674317,0.354324,0.663819,0.62307,0.933368,0.891116,1.45943,1.41858,0.478658,0.80172,0.663901,-1.03131,0.804798,0.832402,0.81201,0.812944,0.897964,0.843309,0.697238,0.860997,1.02906,0.597926,1.61907,0.662406,0.378587,1.06011,-0.118667,1.04944,1.0541,0.852228,0.84609,1.42244,1.40007,0.56193,0.450332,0.647275,0.94467,1.17631,1.02259,1.37312,1.42051,0.110953,0.432336,1.46665,1.4087,1.34918,1.24567,1.19046,1.16938,1.31545,1.2634,1.03618,1.10933,1.11722,0.998066,1.09459,1.01147,0.772317,1.59593,1.50298,1.46289,0.757733,1.11726,1.14161,0.81621,0.88903,1.39391,1.54361,1.31764,1.3934,1.03964,1.27227,1.44306,1.11712,1.09652,1.10402,0.88337,
2.115,0.763356,0.56303,0.688492,0.353795,0.660659,0.620163,0.91797,0.878689,1.45946,1.41858,0.473968,0.797813,0.649169,-1.05413,0.80608,0.833647,0.811517,0.819012,0.902401,0.845252,0.701495,0.866627,1.03514,0.589798,1.6177,0.659303,0.377235,1.05919,-0.0791657,1.04554,1.02467,0.834498,0.841297,1.43304,1.40284,0.561472,0.46881,0.676316,0.975887,1.17662,1.02535,1.36379,1.41184,0.0686657,0.430356,1.46838,1.42604,1.35411,1.25183,1.18871,1.16675,1.32631,1.27715,1.03223,1.10378,1.10998,1.00466,1.09408,1.00524,0.779332,1.60893,1.5067,1.46787,0.767719,1.11542,1.13967,0.822813,0.885051,1.40732,1.54936,1.32184,1.38608,1.06399,1.27986,1.4412,1.10034,1.07637,1.0857,0.881639,
2.12,0.759417,0.552701,0.672546,0.353471,0.657593,0.617046,0.902151,0.865702,1.45927,1.41828,0.469788,0.793814,0.633514,-1.07715,0.807678,0.835139,0.81119,0.82529,0.906613,0.846791,0.705687,0.871995,1.04085,0.580363,1.61564,0.656585,0.376105,1.05798,-0.0397048,1.04082,0.977555,0.823266,0.837502,1.44231,1.40501,0.561163,0.487363,0.704687,1.00767,1.17685,1.02795,1.35432,1.40292,0.0285946,0.428454,1.46919,1.44143,1.35837,1.25713,1.18663,1.16385,1.33541,1.28677,1.02263,1.09807,1.10263,1.00986,1.09281,0.999586,0.785313,1.62012,1.50917,1.47195,0.777374,1.11337,1.13744,0.829285,0.880819,1.42013,1.5542,1.32518,1.37918,1.0862,1.2865,1.43929,1.08419,1.06697,1.07217,0.88054,
