time,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,
2.075,0,0.977486,0.020445,0,0,0.00921031,0.256079,0.101226,
2.08,0.012103,0.994433,0.0481528,0,0,0.0559068,0.223326,0.151037,
2.085,0,0.970886,0.0569524,0.000580372,0,0.0198571,0.226149,0.105141,
2.09,0.0672275,0.997548,0,0,0.00195156,0.102414,0.0244594,0.133277,
2.095,0,0.982482,0.0464883,0,0,0.0776822,0.156703,0.148481,
2.1,0.0253403,1,0.00570451,0,0.00244896,0.215983,0,0.229426,
2.105,0,0.979203,0.111914,0,0,0.167139,0.0748649,0.204691,
2.11,0,0.976796,0.0786181,0,0.00214792,0.299078,0,0.275551,
2.115,0,0.920967,0.204011,0,0,0.277964,0.00555086,0.236255,
2.12,0,0.896049,0.241604,0.000838586,0.0262341,0.402341,0,0.27079,
2.125,0,0.817574,0.232361,0.00691463,0,0.402261,0,0.221906,
2.13,0.0122116,0.792661,0.238817,0,0.0465458,0.525248,0,0.240286,
2.135,0,0.683665,0.210853,0,0.0262155,0.529827,0.00527262,0.156372,
2.14,0.007489,0.646603,0.227956,0.0013033,0.101983,0.677869,0,0.157144,
2.145,0,0.581352,0.225295,0,0.122053,0.730363,0,0.0532007,
2.15,0.00640415,0.490635,0.201554,0,0.0986495,0.80339,0,0.051626,
2.155,0,0.385122,0.135603,0.00714109,0.0808441,0.793458,0,0.00773464,
2.16,0.0223284,0.337133,0.117079,0,0.117058,0.890041,0,0.0184282,
2.165,0,0.236307,0.0475372,0,0.0765465,0.867867,0,0,
2.17,0.0364596,0.190388,0.0305533,0,0.0717949,0.947057,0,0.02559,
2.175,0.0153225,0.0988321,0,0.00209254,0.0268915,0.912586,0,0.0118227,
2.18,0.0344959,0.0758303,0.0060881,0.000510557,0.0475481,0.983748,0,0.0567015,
2.185,0.0124083,0,0,0.00643644,0,0.937062,0,0.046142,
2.19,0.0501006,0.0171789,0.0505742,0.000392546,0.0487137,1,0,0.0143631,
2.195,0.0178091,0,0.0734599,0.00103078,0.0122279,0.917243,0,0,
2.2,0.048757,0.00355012,0.167615,0,0.0346271,0.94815,0,0.00012484,
2.205,0.0494181,0,0.176881,0,0,0.856537,0,0.00821245,
2.21,0.0478384,0,0.239474,0,0.0163958,0.87791,0,0,
2.215,0.0253002,0,0.252716,0,0,0.787249,0,0.00459475,
2.22,0.0478789,0,0.31072,0,0,0.805894,0,0.000727301,
2.225,0,0,0.376134,0,0.00384234,0.698438,0,0.00297777,
2.23,0.0191063,0,0.480062,0,0.00882287,0.683202,0,0.000838866,
2.235,0,0,0.563024,0.00243779,0,0.532129,0,0,
2.24,0.00779283,0.0272003,0.686624,0.0407963,0.00465971,0.4459,0,0,
2.245,0,0.00706763,0.760448,0.039426,0,0.313701,0.0114623,0,
2.25,0,0.0491721,0.872748,0.0894951,0.0256135,0.24792,0.0753683,0,
2.255,0.000894351,0.017151,0.891574,0.066043,0.0264568,0.155347,0.0624219,0.000100752,
2.26,0.00565367,0.0408067,1,0.11342,0.113355,0.133692,0.106402,0,
2.265,0.0119139,0.0176421,0.916539,0.0858677,0.154918,0.0503346,0.08198,0,
2.27,0,0.039634,0.987254,0.124679,0.270401,0.0292614,0.112862,0.00371314,
2.275,0,0.0159882,0.823893,0.0905432,0.351492,0,0.0735679,0.0100841,
2.28,0,0.0319146,0.822371,0.120969,0.493147,0.0122704,0.0962889,0,
2.285,0.00810344,0,0.658142,0.0809782,0.591739,0,0.0426202,0.00708594,
2.29,0.0195559,0.0397385,0.625971,0.110863,0.732816,0.00314685,0.0575701,0.00649592,
2.295,0.0423828,0.00417103,0.462433,0.0394901,0.787391,0,0,0,
2.3,0.156062,0.0409826,0.429193,0.0651173,0.88969,0.0025553,0.0154259,0.0445106,
2.305,0.168916,0,0.340264,0.00743504,0.925067,0,0,0.0608506,
2.31,0.289517,0.0306262,0.317077,0.00935468,1,0.0174676,0,0.100739,
2.315,0.331368,0,0.226651,0,0.999301,0,0.000180817,0.138002,
2.32,0.439081,0.0155375,0.191906,0,0.996567,0.00752399,0,0.253518,
2.325,0.47693,0,0.131745,0,0.952802,0,0,0.318212,
2.33,0.581082,0.00113989,0.0615648,0,0.921944,0,0.000632176,0.459827,
2.335,0.629382,0,0.00468924,0,0.821282,0,0,0.532418,
2.34,0.725498,0,0,0,0.774279,0,0,0.645681,
2.345,0.782238,0.00080261,0,0.00106779,0.663188,0,0,0.725639,
2.35,0.875233,0,0.000912243,0,0.6115,0,0,0.820874,
2.355,0.897858,0,0,0,0.5211,0,0,0.867695,
2.36,0.955106,0,0,0.0494432,0.506443,0,0.000818241,0.945045,
2.365,0.948387,4.37157e-05,0,0.0683877,0.434439,0,0,0.959664,
2.37,0.982436,0,0,0.141348,0.435875,0,0,1,
2.375,0.971034,0,0,0.179397,0.406577,0,0,0.964854,
2.38,1,0.00120622,0.015718,0.265552,0.425209,0,0,0.938388,
2.385,0.965318,0.00307478,0,0.318583,0.400758,0,0,0.85046,
2.39,0.972674,0.000302566,0.00109362,0.434234,0.429438,0,0.0180535,0.822044,
2.395,0.904877,0.000329784,0,0.504049,0.412701,0,0.054943,0.712551,
2.4,0.89362,0,0.0181011,0.62959,0.459959,0,0.106213,0.643089,
2.405,0.786142,0,0.00465168,0.687435,0.44725,0,0.138013,0.519008,
2.41,0.752107,1.81311e-05,0.00961159,0.817157,0.503143,0,0.222019,0.47729,
2.415,0.629912,0,0,0.858957,0.481486,0.00129091,0.25278,0.369751,
2.42,0.585825,0,0,0.952737,0.528181,0.000246416,0.346311,0.305466,
2.425,0.479879,0,0,0.941792,0.512624,0.00118578,0.37481,0.194856,
2.43,0.420678,0,0,1,0.553744,0.00042875,0.48191,0.167098,
2.435,0.34905,0,0,0.935491,0.535904,0.0010505,0.487508,0.0818642,
2.44,0.339697,0,0,0.951584,0.58319,0,0.587589,0.0717725,
2.445,0.228558,0,0,0.847524,0.533892,0,0.608217,0,
2.45,0.226523,0,0.00138966,0.845921,0.570949,0,0.74304,0.00766971,
2.455,0.139945,0.00629111,0.0045365,0.737678,0.533481,0,0.763467,0,
2.46,0.163346,0,0,0.679613,0.564278,0,0.872628,0,
