mtu,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,
addbrev_r,0.0332858,0.60287,0.00594251,0.0419841,0.0249743,0.16092,0.0326503,0.243801,
addlong_r,0.0332858,0.60287,0.00594363,0.0419839,0.0249741,0.16092,0.0326505,0.2438,
addmagDist_r,0.0332857,0.60287,0.00594459,0.0419837,0.0249738,0.16092,0.0326508,0.2438,
addmagIsch_r,0.0332859,0.60287,0.00594311,0.0419839,0.0249742,0.16092,0.0326505,0.2438,
addmagMid_r,0.0332858,0.60287,0.00594184,0.0419844,0.0249745,0.16092,0.03265,0.243801,
addmagProx_r,0.0332857,0.60287,0.00594242,0.0419843,0.0249744,0.16092,0.0326501,0.2438,
bflh_r,0.645572,0.0124628,0.000427306,0.074526,0.322041,0.00383968,0.0629713,0.210905,
bfsh_r,0.645575,0.0124597,0.000426931,0.0745213,0.322038,0.00383837,0.0629757,0.210904,
edl_r,0.104367,0.0818228,0.692382,0.0053163,0.00524472,0.142117,0,0,
ehl_r,0.0614859,0.0579783,0.695562,0.0274927,0.00084692,0.124266,0,0.00537387,
fdl_r,0.0908204,0.0665793,0.103136,0.107769,0.0874648,0.0830607,0.168906,0.1024,
fhl_r,0.0862649,0.0572835,0.0736997,0.0798363,0.10189,0.0718989,0.146701,0.0867385,
gaslat_r,0.0783322,0.00663422,0.000204225,0.0896209,0.0061643,0.041058,0.626255,0.00245958,
gasmed_r,0.271897,0.0940411,0.00141608,0.161658,0.065347,0.00223236,0.419839,0.0417256,
glmax1_r,0.245463,0.00130055,0.000675386,0.607563,0.0667884,0.0531751,0.00967396,0.00427731,
glmax2_r,0.245462,0.00130018,0.000678345,0.607562,0.0667884,0.0531753,0.0096735,0.00427808,
glmax3_r,0.245462,0.00130024,0.000677745,0.607562,0.0667883,0.0531753,0.00967363,0.00427799,
glmed1_r,0,0.328995,0.00327867,0.319495,0.0040728,0,0.625433,0,
glmed2_r,0.000399581,0,0.00141607,0.188482,0,0.00169125,0.710533,0.0639498,
glmed3_r,0.0929246,0.00163792,0.00928959,0.667753,0,0.000772573,0.563555,0.0865367,
glmin1_r,0.00391791,0.301347,0.032561,0.237399,0.00820792,0,0.542652,0.0263296,
glmin2_r,0.00397629,0.294578,0,0.31422,0.00153882,0,0.63788,0.000749073,
glmin3_r,0,0,0,0.453389,0,0,0.787241,0.00320761,
grac_r,0.242436,0.249222,0,0.0815429,0.162037,0.416938,0.131785,0.385115,
iliacus_r,0.000506798,0.351031,0.0741699,0.0106605,0.00804048,0.31835,0.0138544,0,
perbrev_r,0.0814135,0.267743,0.102279,0.089034,0.105856,0.0928845,0.248815,0.0924001,
perlong_r,0.086756,0.112732,0.0905762,0.101837,0.104929,0.0785463,0.301678,0,
psoas_r,0,0.597981,0.123386,0,0,0.773736,0,0,
recfem_r,0.00189217,0.0269337,0.361601,0.096391,0.00104422,0.273981,0.028716,0.000662345,
sart_r,0,0.362345,0.390884,0,0,0.583113,0.0530462,0,
semimem_r,0.282033,0.0384115,0.00364082,0.0548777,0.465034,0.0135511,0.147547,0.225104,
semiten_r,0.28203,0.0384103,0.00364306,0.0548798,0.465032,0.0135505,0.147546,0.225107,
soleus_r,0.18424,0.0523627,0,0.130211,0.0368314,0.026382,0.523836,0.0157718,
tfl_r,0.00339551,0.368398,0.00688552,0.0559109,0.000656024,0.409061,0.048621,0.000686738,
tibant_r,0.0458512,0.252107,0.422295,0.145316,0.106126,0.708232,0.0123063,0.396247,
tibpost_r,0.0987501,0.177746,0.0249192,0.0894091,0.0685115,0.0195953,0.472929,0.0699545,
vasint_r,0.167192,0.00341671,0.0275823,0.714588,0.0890459,0.053573,0.00288104,0.00207749,
vaslat_r,0.203453,0,0.0242017,0.891804,0.0117313,0.0735298,0.00765864,0.000560625,
vasmed_r,0.136262,0.00241242,0.0411235,0.530361,0.160881,0.0389445,0,0,
addbrev_l,0.0781586,0.0855552,0.0604797,0.236347,0.00670884,0.0848272,0.145947,0.0431482,
addlong_l,0.104202,0.0872488,0.0852501,0.0840579,0.0790684,0.0903894,0.0371653,0.0866024,
addmagDist_l,0.0898851,0.098266,0.105817,0.0878457,0.0987647,0.214338,0.0958196,0.0837069,
addmagIsch_l,0.0922974,0.0872723,0.0997613,0.0881882,0.0986412,0.0585013,0.090224,0.0830155,
addmagMid_l,0.107659,0.0957146,0.089348,0.104496,0.0921356,0.0919927,0.0821435,0.0939845,
addmagProx_l,0.183301,0.136585,0.0965743,0.261607,0.0420672,0.0884783,0.0436046,0.0737295,
bflh_l,0.0738893,0.0822207,0.0930102,0.0857438,0.0903959,0.0999757,0.100811,0.0816238,
bfsh_l,0.225534,0.086913,0.0901617,0.444279,0.0568727,0.0878389,0.082733,0.0571549,
edl_l,0.0418022,0.103221,0.0887926,0.0885223,0.0933615,0.0961536,0.0915183,0.109531,
ehl_l,0.088194,0.088131,0.0762575,0.0846554,0.0280821,0.0921709,0.0892254,0.0869434,
fdl_l,0.0930659,0.090954,0.10064,0.103739,0.095296,0.0938853,0.097281,0.0963098,
fhl_l,0.0859625,0.0965546,0.0858044,0.0895697,0.0947982,0.0903008,0.106427,0.108173,
gaslat_l,0.0871532,0.0915358,0.0948526,0.0888745,0.0811889,0.0901448,0.0896582,0.0975112,
gasmed_l,0.0861791,0.0992562,0.0918515,0.0912788,0.0879223,0.1112,0.0951623,0.0956553,
