time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,piri_r,
2.075,0.0132629,0.00408727,0.0131924,0,0.0133741,0.0234938,0.00826253,0.00890467,0.0431765,0.0356991,0.00191069,0.00858051,0.01008,0,0.00238248,0.00226589,0.00178875,0.0118529,0.018597,0.0147519,0,0.0346836,0.01735,0.00411446,0.0858928,0.0214388,0,0.0406313,0,0.0294137,0.0178815,0.0121253,0.0146769,0.0420297,0.0415368,0.00684104,0,0,0,0.0252853,0.0136739,0.0419614,0.0478581,0,6.71031e-08,0.04538,0.028606,0.0285028,0.0212645,0.0192773,0.0188313,0.0273611,0.0255536,0.0389253,0.0288753,0.0361768,0.0211376,0.022355,0.027244,0,0.0565095,0.0472079,0.0405534,0.0243492,0.0157478,0.0172364,0.0088029,0.0152406,0.0360536,0.0595953,0.0324654,0.0411769,0.0175149,0.0242139,0.0444743,0.0228651,0.0196826,0.0201259,0.010594,
2.08,0.0347275,0.035207,0.0406028,-0.00132502,0.0273387,0.0131768,0.00278617,-0.00108701,0.0449971,0.0378617,0.00172435,0.00803947,0.00686899,-0.0018759,0.0103431,0.00375872,-0.0133123,0.0626866,0.0340599,0.0301421,0,0.0727146,0.0308292,0.0229135,0.0863922,0.0224261,-0.000474486,0.0415958,0.00519114,0.0160834,0.0121148,0.00395096,0.012991,0.0461375,0.0455444,0.00641073,0.00993391,0.00915301,0.0102927,0.0233666,0.0160609,0.0198651,0.0404488,-0.00678972,-0.0163495,0.0486523,0.0830595,0.0309498,0.0240964,0.0190753,0.018303,0.031263,0.0304806,0.00523576,-0.0048935,-0.0121653,0.0729271,0.0381667,0.0165442,0,0.134452,0.0650277,0.0562143,0.0624516,0.0153323,0.0169246,0.0546572,0.0150053,0.118539,0.0653757,0.0473596,0.0380488,0.0266512,0.0297386,0.0439323,0.0164823,0.0144576,0.0143655,0.0128779,
2.085,0.0190967,0.0105366,0.0175633,-0.00208518,0.0157596,0.0102448,-0.000550893,-0.00340167,0.0460361,0.0389683,0.00169187,0.00752979,0.00326938,-0.00300613,0.0120897,0.00440456,-0.0180389,0.0616597,0.0387112,0.0331959,0,0.0842203,0.0355979,0.00701569,0.0857241,0.0238608,-0.000717798,0.0413601,0.00683703,0.0128637,0.00709699,-8.53079e-05,0.0118327,0.0494984,0.0481204,0.00597378,0.0125789,0.0117026,0.013091,0.0256566,0.0179679,0.0168809,0.0369684,-0.00850981,-0.0262866,0.0504504,0.0994995,0.0327074,0.0261855,0.0188445,0.0177796,0.0345466,0.0345565,0.0054,-0.0122251,-0.0280493,0.0836338,0.0408956,0.0113165,0,0.144022,0.0701052,0.0601288,0.0756001,0.0148975,0.0165932,0.0575438,0.0145037,0.137299,0.0694479,0.0527653,0.035738,0.03414,0.0336422,0.0434391,0.0112103,0.010065,0.00963243,0.0144821,
2.09,0.016963,0.028901,0.0386809,-0.00226381,0.0145668,0.00913462,-0.00142787,-0.0079371,0.0465653,0.0393655,0.00175475,0.00705549,0.000515627,-0.00335564,0.0133586,0.00540006,-0.0186106,0.0704998,0.0380197,0.0315365,0,0.0843465,0.0328046,0.0102718,0.0851204,0.0250822,-0.000868025,0.0406169,0.00986838,0.0101328,0.00297407,0.00192179,0.0110636,0.052212,0.0496257,0.00547291,0.0150257,0.0147711,0.0162008,0.0279598,0.0192659,0.0180602,0.0347564,-0.00872113,-0.0297454,0.0512999,0.0934367,0.0338515,0.027556,0.0185778,0.0172501,0.0370481,0.0375821,0.00446951,-0.0196869,-0.0422275,0.0785985,0.0388024,0.0067223,0,0.140932,0.0690944,0.0607784,0.0766292,0.0144212,0.0162353,0.0617529,0.0137636,0.128738,0.0724645,0.053386,0.0339374,0.0399677,0.0361067,0.0429701,0.006801,0.0061987,0.00569357,0.0138347,
2.095,0.0161308,0.0140275,0.0188533,-0.00215933,0.0139305,0.00862245,-0.00277017,-0.0112374,0.0470408,0.039736,0.00189398,0.0066533,-0.000838461,-0.00345586,0.0146554,0.00684239,-0.0172663,0.0731665,0.0363939,0.0289484,0,0.0811611,0.0310886,0.00772068,0.0845332,0.0261851,-0.000933366,0.0395546,0.0116861,0.00818115,-7.67312e-05,-0.000159684,0.0106504,0.0542465,0.0503393,0.00501784,0.015581,0.0158253,0.0172887,0.0296506,0.0199956,0.0150449,0.0329973,-0.00870818,-0.0299115,0.0517375,0.0930544,0.0345941,0.0283502,0.0183044,0.0167502,0.0385926,0.039263,0.00343564,-0.0278946,-0.051953,0.07612,0.0370048,0.00489219,0,0.142566,0.0688488,0.0613216,0.075339,0.0139728,0.015884,0.061982,0.0128669,0.127317,0.0749087,0.0524957,0.0325268,0.0427405,0.0371323,0.0425367,0.00358339,0.0030912,0.00273368,0.0134303,
2.1,0.0151969,0.0283626,0.0396714,-0.00192987,0.0136209,0.00799576,-0.00434711,-0.0141237,0.0473467,0.0398965,0.0020948,0.0063472,-0.00181754,-0.00458821,0.0161728,0.00877734,-0.0137653,0.0730847,0.0343874,0.0248363,0,0.0770947,0.0258926,0.00582645,0.0838507,0.0272105,-0.000925563,0.0387505,0.0127521,0.00726111,-0.00192365,0.00381378,0.0105571,0.0555248,0.0504489,0.00461179,0.0157991,0.0162816,0.0181563,0.0305303,0.0203334,0.0147947,0.0314476,-0.00862651,-0.0291573,0.0519705,0.0917413,0.0351685,0.0288295,0.0180542,0.0163119,0.039308,0.0397759,0.00460421,-0.0323259,-0.0539555,0.0774334,0.0361413,0.0032586,0,0.141987,0.068545,0.0615987,0.0741545,0.013608,0.0155761,0.060739,0.0119262,0.125447,0.0770536,0.0514686,0.0313694,0.0407435,0.036982,0.0421461,0.00159386,0.000929548,0.000911269,0.0107248,
2.105,0.0139306,0.0137576,0.0198605,-0.00161867,0.0134935,0.00709424,-0.00547675,-0.016334,0.0479347,0.0405283,0.00234832,0.00616512,-0.00347975,-0.00503023,0.0182571,0.0113239,-0.00954696,0.0720227,0.0324337,0.021765,0,0.0731489,0.0237239,0.00366892,0.0830577,0.028191,-0.000855414,0.0378017,0.0133153,0.0054662,-0.00531055,-0.000867012,0.0107495,0.0560062,0.0501238,0.0043225,0.0159784,0.0165786,0.0190442,0.0306432,0.0204203,0.0128491,0.0299572,-0.0140471,-0.0281073,0.0520041,0.089823,0.0356655,0.0291889,0.0178486,0.015956,0.0399198,0.040183,0.0022777,-0.0362942,-0.0553264,0.0759534,0.0351721,0.00324026,0,0.139284,0.0681273,0.061544,0.072425,0.0133587,0.0153332,0.0590606,0.0110702,0.123244,0.078847,0.0501396,0.0303923,0.0396131,0.0364341,0.0418051,0.00134433,0.00144852,0.00223341,0.0123077,
2.11,0.0121328,0.0246384,0.0397974,-0.00121849,0.0134031,0.00584594,-0.00613566,-0.0182823,0.0481734,0.0407316,0.00264886,0.00612173,-0.00503832,-0.00512207,0.0216539,0.0146485,-0.00456416,0.0707405,0.0299696,0.0183451,0,0.0690763,0.0203014,0.00134002,0.0821396,0.0291513,-0.000732458,0.0369541,0.0135416,0.00416628,-0.00852375,-0.0008788,0.0111972,0.0559692,0.0494866,0.00413961,0.016132,0.0167965,0.0199179,0.0300986,0.0203992,0.0109163,0.0284351,-0.0106524,-0.0270854,0.05181,0.088153,0.0361178,0.0295153,0.017702,0.0156981,0.0406467,0.0407854,0.00773538,-0.0391447,-0.0558109,0.0756665,0.034039,0.0022859,0,0.133869,0.0674312,0.0610675,0.0705148,0.0132391,0.0151714,0.057404,0.0104188,0.120866,0.0802232,0.0485234,0.0295852,0.0386915,0.0359226,0.0415182,0.00120171,6.46032e-05,-0.000377027,0.0110913,
2.115,0.0100202,0.0120836,0.0211728,-0.000700069,0.0132624,0.00425293,-0.00645481,-0.0210742,0.048561,0.0412062,0.00299264,0.00622146,-0.00624678,-0.00515711,0.0258873,0.0181007,0.00124325,0.0693076,0.0274852,0.0143267,0,0.0653145,0.0174293,0.000936237,0.0810972,0.0301086,-0.000564023,0.0358269,0.013531,0.00250243,-0.011267,0.00218586,0.0118724,0.0559235,0.0486178,0.00405647,0.0162068,0.0170222,0.0206263,0.0290215,0.0203084,0.00987741,0.0268763,-0.0100296,-0.02619,0.0513282,0.0859258,0.0364487,0.0297128,0.0176125,0.0155331,0.0412519,0.0410605,-0.00065496,-0.0394142,-0.0565839,0.0737058,0.0329314,0.00417016,0,0.126358,0.0664602,0.0601807,0.0682521,0.0132287,0.0150854,0.0557491,0.0100914,0.118406,0.0811439,0.0464641,0.0289604,0.0380955,0.035418,0.041285,0.00109597,0.00192001,0.00111605,0.0113467,
2.12,0.00816468,0.0171574,0.0389657,2.12674e-05,0.0130472,0.00251921,-0.00654115,-0.024398,0.0487382,0.041457,0.00337765,0.00647565,-0.00710903,-0.00517642,0.0298103,0.0229849,0.010595,0.0681913,0.0257223,0.0106694,0,0.0617711,0.014305,0.00169222,0.0799308,0.0310743,-0.000355549,0.0346607,0.0133328,0.00364295,-0.0110588,-0.000597799,0.0127508,0.0559323,0.0475623,0.00407267,0.0161552,0.0173401,0.0210763,0.0275696,0.0202313,0.00894832,0.025314,-0.00984784,-0.025367,0.0506065,0.0841138,0.0367305,0.0298839,0.017599,0.0154819,0.0420189,0.0419021,0.0437591,-0.0386572,-0.0571755,0.0728557,0.0321834,0.00221486,0,0.118313,0.0651691,0.059061,0.0661484,0.0133571,0.0150957,0.0541123,0.0101778,0.115954,0.0815845,0.044137,0.028557,0.037822,0.0349311,0.0411199,0.00128036,-0.000751919,0.000656171,0.0108933,
