iteration,loss,learning rate,
1,1277.88,0.02,
2,1245.72,0.02,
3,1209.9,0.02,
4,1177.59,0.02,
5,1150.55,0.02,
6,1124.1,0.02,
7,1100.69,0.02,
8,1073.13,0.02,
9,1051.11,0.02,
10,1029.12,0.02,
11,1010.91,0.02,
12,994.155,0.02,
13,978.148,0.02,
14,964.105,0.02,
15,948.717,0.02,
16,931.974,0.02,
17,915.973,0.02,
18,905.929,0.02,
19,897.848,0.02,
20,890.157,0.02,
21,882.933,0.02,
22,878.014,0.02,
23,877.225,0.02,
24,885.984,0.02,
25,923.219,0.02,
26,987.059,0.02,
27,1006.02,0.02,
28,1004.77,0.02,
29,990.403,0.02,
30,970.998,0.02,
31,942.578,0.02,
32,925.34,0.02,
33,918.258,0.02,
34,915.186,0.02,
35,911.669,0.02,
36,907.133,0.02,
37,902.383,0.02,
38,897.392,0.02,
39,891.109,0.02,
40,883.416,0.02,
41,875.945,0.02,
42,868.778,0.02,
43,861.273,0.02,
44,854.858,0.02,
45,849.158,0.02,
46,845.161,0.02,
47,841.892,0.02,
48,839.282,0.02,
49,837.388,0.02,
50,836.372,0.02,
51,835.599,0.02,
52,835.343,0.02,
53,836.252,0.02,
54,839.443,0.02,
55,850.226,0.02,
56,870.234,0.02,
57,882.321,0.02,
58,885.548,0.02,
59,886.608,0.02,
60,889.816,0.02,
61,888.508,0.02,
62,887.594,0.02,
63,887.855,0.02,
64,887.509,0.02,
65,879.136,0.02,
66,870.471,0.02,
67,866.393,0.02,
68,864.868,0.02,
69,864.865,0.02,
70,865.147,0.02,
71,866.537,0.02,
72,869.01,0.02,
