time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,piri_r,
2.075,236.879,273.023,268.07,121.563,299.551,315.01,59.8664,46.3164,103.031,56.1411,22.1636,68.6457,86.0684,238.846,7.1562,7.65939,3.58033,306.015,137.794,116.097,169.314,129.75,185.445,69.377,1458.38,49.4293,95.7001,1824.69,184.761,171.723,168.75,65.5824,280.492,128.909,302.37,85.9821,0,0,0,111.818,87.7367,105.852,317.851,0,5.4941,604.23,77.7703,62.7442,25.4546,45.5803,93.3557,77.8326,125.117,396.452,476.224,428,234.27,160.412,332.371,233.003,82.3623,78.9309,66.3391,82.2404,43.4555,99.3639,348.089,152.525,65.7913,894.803,137.68,784.055,31.8245,135.556,931.692,764.018,2139.9,1099.92,30.1906,
2.08,287.67,365.133,14.9405,121.544,40.0935,33.4017,100.125,57.9382,103.039,56.1429,34.39,106.724,121.127,466.337,9.9618,10.3575,3.60976,21.2679,134.564,112.61,233.139,165.779,181.762,82.2985,1459.49,81.2826,161.201,2058.28,185.21,246.472,279.954,99.1178,373.051,195.543,402.405,124.483,0,0,0,49.9614,99.4787,137.141,323.019,0,5.27967,604.503,77.5653,73.3774,27.3667,47.2861,97.255,78.2276,129.193,396.424,635.365,428.093,296.823,200.376,332.364,41.0107,107.024,102.101,66.1635,105.854,45.9499,104.053,16.9233,154.324,64.7436,929.214,143.503,783.317,45.1584,187.481,934.01,779.549,2246.19,1165.8,30.2815,
2.085,246.969,345.935,254.147,113.852,230.256,270.807,51.5119,35.7339,108.799,59.4676,34.0575,103.219,85.158,384.379,14.5144,12.8532,1.04156,425.75,154.325,127.774,389.066,254.508,218.595,60.0428,1493.44,80.5738,154.718,2116.49,322.565,230.424,164.203,57.7961,301.031,235.589,451.696,119.908,29.5975,87.9658,40.5445,68.8578,108.005,93.325,294.414,0,2.178,636.883,124.515,86.9845,32.4788,46.3362,93.1302,107.719,199.05,303.517,454.605,323.101,557.089,270.427,286.475,283.486,211.979,166.242,80.9567,214.398,44.0092,100.817,337.177,143.694,95.7393,1055.75,174.749,646.383,83.789,248.219,921.63,685.485,1955.06,1005.25,37.3427,
2.09,221.294,335.585,30.9427,108.658,98.1562,69.7602,21.1464,17.1337,113.053,61.8242,35.7733,106.507,51.8808,350.935,16.7559,14.4162,0,149.302,133.513,108.441,444.576,275.223,189.553,45.4295,1518,87.4087,163.276,2156,413.636,221.573,78.3295,22.6242,249.007,281.222,509.98,121.151,31.0442,90.4093,44.592,65.8378,112.814,80.158,274.966,0,0.433753,661.281,143.886,98.3473,36.3899,45.2561,88.9357,128.66,244.285,264.354,405.103,290.288,647.754,306.979,249.525,279.881,237.123,203.401,85.9999,268.942,41.8471,97.2345,251.191,129.591,88.8116,1150.89,187.753,543.66,111.658,303.241,909.454,612.964,1733.11,887.283,41.3965,
2.095,208.049,325.197,237.986,106.586,119.01,159.945,31.0413,53.237,117.139,63.9642,37.494,110.022,22.1696,321.74,18.5056,15.7391,0,385.885,111.916,87.2014,463.507,262.286,158.349,36.5123,1540.08,93.7016,171.786,2176.15,556.463,212.185,47.5851,35.1184,207.425,325.147,555.144,122.14,37.0896,112.069,54.2082,65.813,114.453,77.4373,258.136,0,0,680.515,147.89,107.739,39.0023,44.1756,84.9762,145.741,289.716,252.481,379.282,283.239,674.714,324.285,222.099,286.485,245.144,226.36,88.4492,300.219,39.7392,93.6864,278.802,114.425,81.547,1226.27,190.788,456.612,142.997,357.074,897.793,548.651,1535.77,792.49,43.8275,
2.1,198.806,313.615,80.7953,107.101,110.981,115.02,23.0785,33.2057,121.538,66.1252,39.3478,113.996,12.1698,295.489,20.0067,17.0065,0.452046,371.752,66.0037,53.8527,461.552,234.34,94.3602,29.9226,1555.56,100.003,180.685,2178.58,668.968,203.179,19.5171,11.5665,176.414,366.053,591.88,123.417,40.2965,116.565,61.9438,66.2399,113.7,77.1618,242.71,0,0,694.805,159.621,114.539,40.4224,43.097,81.2615,157.579,312.676,248.016,372.787,269.267,674.635,326.186,198.655,288.359,246.01,236.279,89.9389,318.538,37.7733,90.1877,272.973,99.6135,71.4651,1292.56,190.376,384.733,166.432,406.351,886.625,494.795,1380.08,718.682,46.0619,
2.105,190.092,300.149,158.339,108.836,110.581,110.121,14.9951,27.7556,124.295,67.6445,41.3445,118.459,4.25643,244.905,21.3805,18.3495,1.92864,347.87,64.1974,46.3526,447.354,204.38,91.246,25.4396,1559.86,106.233,189.901,2164.79,799.325,194.471,0,88.7223,155.091,403.45,619.948,125.023,43.5423,119.474,69.7157,67.5994,111.897,76.0885,227.542,0,0,705.632,165.579,118.455,41.0456,42.107,77.971,163.388,324.94,242.885,359.555,255.996,669.089,317.467,175.509,288.893,245.307,236.173,91.1447,330.878,36.1485,87.0379,264.158,86.3763,70.6026,1346.29,189.954,330.262,180.404,446.253,876.157,444.36,1249.72,654.582,46.489,
2.11,180.588,284.808,139.608,111.185,110.786,107.29,10.4463,25.2597,126.831,68.9262,43.4946,123.442,0,189.243,22.7689,19.8522,4.33181,319.615,37.0744,29.6436,425.227,174.185,54.0462,20.1372,1549.08,112.37,199.575,2136.02,937.631,185.312,0,49.7653,142.405,437.029,639.313,126.925,47.6036,126.616,77.6464,67.7971,109.708,74.2952,212.696,0,0,712.771,172.297,119.941,41.1113,41.2354,75.1539,166.61,332.343,236.826,350.003,240.26,659.045,301.833,161.277,288.186,242.524,229.839,91.7125,337.398,34.8722,84.3088,257.575,75.7597,65.0562,1390.59,190.25,291.129,197.396,475.057,866.429,396.89,1130.31,594.963,46.0654,
2.115,169.367,268.136,139.859,113.73,110.428,103.039,7.94167,20.4634,128.664,69.8201,45.8046,128.963,0,144.954,24.3013,21.5517,7.29277,288.926,22.1465,17.6285,398.798,145.602,33.9974,14.7211,1521.12,118.423,209.541,2093.52,1079.63,175.121,0,42.1383,137.251,466.631,650.167,129.122,53.716,147.375,85.2816,67.5697,107.542,71.9242,198.938,0,0,715.286,178.304,119.308,41.1164,40.5039,72.8549,168.088,335.701,229.378,341.005,228.35,644.106,281.895,152.463,285.911,237.447,220.594,91.6338,338.703,33.9343,82.0715,252.605,67.9201,61.6503,1431.34,190.143,263.661,196.46,492.043,857.577,352.811,1019.75,541.666,44.8833,
2.12,156.491,250.679,140.173,116.169,109.185,96.0287,6.54973,19.3445,129.509,70.2253,48.2778,135.051,0,109.572,25.9826,23.5273,8.81988,257.557,8.23008,7.91598,369.53,119.396,15.1528,22.6674,1476.57,124.382,219.818,2038.6,1222.13,162.855,0,37.895,138.182,491.999,652.946,131.555,60.0571,171.771,95.4372,66.7216,105.399,69.0667,186.17,0,0,712.738,183.425,117.129,41.0641,39.9128,71.0735,167.941,335.425,223.321,332.219,216.59,624.223,259.224,142.069,281.62,230.331,209.082,90.7326,335.76,33.2861,80.3171,248.027,63.8011,58.2521,1463.75,188.724,244.97,196.264,497.851,849.699,314.194,924.806,499.666,42.7938,
