time,synergy1,synergy2,synergy3,synergy4,
2.075,0,0.819866,0,0.374701,
2.08,0.00138137,0.825251,0,0.351751,
2.085,0,0.832591,0,0.310251,
2.09,0.000910815,0.849137,0.00287225,0.213912,
2.095,0,0.901393,0.0196858,0.169519,
2.1,0.00148144,0.940211,0.0560587,0.0794799,
2.105,0,0.976573,0.042823,0.100017,
2.11,0,0.994028,0.067605,0.0413892,
2.115,0,1,0.078989,0.0226601,
2.12,0.00107806,0.999649,0.0866697,2.5188e-05,
2.125,0.00101496,0.991046,0.0948658,0,
2.13,0,0.974026,0.0932231,0,
2.135,0.00870703,0.943161,0.0847715,0,
2.14,0.0234047,0.905288,0.0782137,0,
2.145,0.0354943,0.861469,0.0707468,0,
2.15,0.0458991,0.803981,0.0695324,0,
2.155,0.0605599,0.752394,0.0632677,0,
2.16,0.0711155,0.705747,0.0594064,0,
2.165,0.0756199,0.66018,0.0565366,0.00189076,
2.17,0.0816532,0.620307,0.0526862,0.000672386,
2.175,0.0872372,0.584511,0.0488649,0,
2.18,0.0945972,0.552654,0.045035,0.00137685,
2.185,0.100237,0.526906,0.0377425,0,
2.19,0.105058,0.507846,0.0310693,0,
2.195,0.112286,0.491068,0.0202538,0,
2.2,0.118544,0.475884,0.0142755,0,
2.205,0.118067,0.468476,0.00409759,0,
2.21,0.119835,0.455631,0,0,
2.215,0.117799,0.443141,0,0,
2.22,0.118836,0.426665,0,0,
2.225,0.119948,0.409511,0.00158328,0,
2.23,0.123725,0.391262,0,0.00174879,
2.235,0.131977,0.37178,0.00125538,0,
2.24,0.139328,0.351292,0,0,
2.245,0.163954,0.323923,0,0.00295116,
2.25,0.16552,0.303341,0.00131779,0,
2.255,0.162927,0.27355,0,0.0532711,
2.26,0.170482,0.252999,0,0.0699067,
2.265,0.177744,0.225296,0,0.101758,
2.27,0.184998,0.202904,0,0.123157,
2.275,0.170792,0.153828,0.0591684,0.115746,
2.28,0.157165,0.119353,0.123143,0.10876,
2.285,0.142476,0.0832966,0.193569,0.072758,
2.29,0.123666,0.0431937,0.286881,0.0165347,
2.295,0.102309,0.00588122,0.369965,0.00826988,
2.3,0.0841341,0.000360915,0.442338,0.00252207,
2.305,0.073705,0,0.507594,0,
2.31,0.0588794,0.0001169,0.573535,0,
2.315,0.0467247,0,0.63697,0,
2.32,0.0410766,0,0.692931,0,
2.325,0.0284008,0,0.755906,0.00204802,
2.33,0.0190552,0,0.805616,0,
2.335,0.0157516,0,0.852714,0.00414834,
2.34,0.0224554,0,0.905458,0,
2.345,0.0393058,0,0.9385,0,
2.35,0.0565117,0,0.959842,0,
2.355,0.0790887,0,0.976264,0.00264687,
2.36,0.106163,0,0.993302,0,
2.365,0.145285,0,0.999979,0,
2.37,0.193748,0,1,0,
2.375,0.252496,0,0.984229,0,
2.38,0.324666,0.00220098,0.954346,0,
2.385,0.40127,0,0.918754,0,
2.39,0.490926,0,0.874831,0,
2.395,0.581115,0,0.783861,0.0858148,
2.4,0.677084,0,0.703559,0.120703,
2.405,0.768723,0,0.613672,0.176555,
2.41,0.852244,0,0.524315,0.238115,
2.415,0.918244,0,0.434172,0.299054,
2.42,0.960476,0,0.347821,0.366873,
2.425,0.989751,0,0.267248,0.430953,
2.43,1,0,0.194699,0.496805,
2.435,0.987291,0,0.133835,0.559645,
2.44,0.959839,0,0.0808632,0.625209,
2.445,0.918458,0,0.0361051,0.691392,
2.45,0.863933,0,0.0089167,0.750841,
2.455,0.788869,0,0,0.803647,
2.46,0.697569,0,0,0.85854,
2.465,0.627368,0,0,0.896118,
2.47,0.546579,0,0,0.92916,
2.475,0.456425,0,0,0.955176,
2.48,0.373348,0,0,1,
2.485,0.299273,0,0.00317894,0.990735,
2.49,0.224468,0.00830325,0.0330589,0.940833,
2.495,0.165015,0.0290812,0.0276589,0.934083,
2.5,0.112965,0.0434377,0.0439867,0.887942,
2.505,0.0640811,0.0699119,0.0638384,0.822778,
2.51,0.0296259,0.0975656,0.078157,0.748243,
2.515,0.000877529,0.130034,0.0889847,0.673168,
2.52,0,0.16733,0.0865393,0.593422,
2.525,0,0.211175,0.0816012,0.512949,
2.53,0,0.25571,0.0771284,0.435948,
2.535,0,0.297213,0.0852714,0.352191,
2.54,0,0.339867,0.0805221,0.299669,
