time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,piri_r,
2.075,1.04871,1.01128,0.753569,0.668172,0.756624,0.853427,0.949575,1.16182,1.24754,1.27596,0.691842,0.68995,1.05889,0.999462,0.952274,0.953298,0.941282,0.777947,0.844373,0.886009,0.815343,0.864263,0.858629,1.14922,1.06722,0.896772,0.8897,1.1015,0.753718,1.096,1.05916,1.03921,0.693326,0.901588,1.25734,0.825691,0.795674,0.81588,0.864048,0.820498,0.924479,1.16154,1.47693,-0.116844,0.510178,1.4574,1.10089,1.12662,1.13622,1.18914,1.17549,0.836773,0.71505,1.32103,1.38163,1.42517,0.991015,1.13192,1.1818,0.857832,0.952824,1.04948,1.25874,0.60776,1.12077,1.14511,0.74762,0.942509,0.926923,1.43217,1.26433,1.224,0.777062,0.945443,1.48359,1.45405,1.42716,1.4311,1.13287,
2.08,1.04793,1.00926,0.735433,0.66818,0.745924,0.840595,0.946032,1.16019,1.24468,1.2758,0.6902,0.688701,1.0552,0.993799,0.952165,0.953178,0.941277,0.776982,0.84339,0.886063,0.814238,0.863315,0.857056,1.14801,1.06689,0.896344,0.886078,1.10014,0.753606,1.09498,1.05475,1.03669,0.690149,0.895477,1.25384,0.823557,0.795674,0.81588,0.864048,0.816101,0.92159,1.16044,1.47648,-0.116844,0.509871,1.45736,1.10101,1.12384,1.13431,1.188,1.17439,0.836619,0.71103,1.32059,1.38166,1.42519,0.989382,1.13012,1.18096,0.857177,0.95152,1.04712,1.25883,0.606333,1.11993,1.14398,0.745806,0.942053,0.926209,1.43218,1.26435,1.2241,0.776728,0.941775,1.48335,1.45279,1.42563,1.42957,1.13332,
2.085,1.04579,1.00679,0.74677,0.667592,0.749215,0.846317,0.937458,1.15193,1.24295,1.27908,0.688558,0.687051,1.04859,0.985157,0.953048,0.953289,0.939725,0.780253,0.846294,0.889359,0.817676,0.867691,0.860265,1.14403,1.06687,0.895637,0.882321,1.09908,0.760647,1.09292,1.04538,1.02901,0.685445,0.890784,1.25085,0.821403,0.813046,0.833816,0.88074,0.815839,0.918955,1.15365,1.47151,-0.121918,0.5073,1.45994,1.11389,1.12265,1.13476,1.187,1.17313,0.840143,0.710425,1.31593,1.37484,1.41562,0.996312,1.13085,1.17797,0.869414,0.960106,1.04928,1.26322,0.61274,1.11899,1.14291,0.74824,0.941142,0.934088,1.43701,1.26828,1.22174,0.78223,0.939801,1.48255,1.44583,1.41912,1.42266,1.13671,
2.09,1.04277,1.00409,0.734606,0.666622,0.745364,0.840384,0.923483,1.13402,1.24222,1.28334,0.687031,0.685198,1.03872,0.974427,0.954085,0.953497,0.937387,0.784954,0.850361,0.893734,0.822516,0.873815,0.866531,1.13807,1.06703,0.894697,0.878816,1.09828,0.778188,1.09065,1.02989,1.01459,0.679905,0.88733,1.24898,0.819341,0.831296,0.852209,0.898993,0.815465,0.917004,1.14455,1.46487,-0.12883,0.503993,1.464,1.14602,1.12315,1.13763,1.18613,1.17175,0.847873,0.712105,1.31035,1.36744,1.40595,1.01,1.13284,1.17396,0.887793,0.975807,1.0545,1.27062,0.623436,1.118,1.14192,0.753476,0.939534,0.94715,1.44621,1.27517,1.21751,0.796467,0.939342,1.4815,1.43506,1.40939,1.41214,1.14464,
2.095,1.03929,1.00115,0.741231,0.665145,0.742395,0.83877,0.910308,1.12889,1.24245,1.28761,0.685555,0.683186,1.02414,0.961822,0.955237,0.953872,0.934978,0.790672,0.855327,0.898641,0.828224,0.880904,0.875106,1.13065,1.06729,0.893376,0.875698,1.09765,0.802623,1.0882,1.01107,0.995676,0.673921,0.884969,1.24805,0.817325,0.852415,0.874943,0.919655,0.815317,0.915708,1.13773,1.4575,-0.136055,0.500379,1.46839,1.17392,1.12549,1.14297,1.18522,1.17013,0.860151,0.716785,1.30462,1.3601,1.3967,1.02648,1.13539,1.16898,0.903592,0.991662,1.06233,1.27892,0.63613,1.11685,1.14087,0.760839,0.936928,0.960454,1.45793,1.28332,1.21142,0.825587,0.940416,1.48028,1.42127,1.39745,1.39941,1.15705,
2.1,1.03547,0.997936,0.73548,0.663463,0.739045,0.835231,0.895323,1.11912,1.24355,1.29126,0.683983,0.681024,1.0082,0.948248,0.956529,0.954485,0.93277,0.796944,0.860774,0.903196,0.834453,0.888061,0.884482,1.12203,1.06753,0.891781,0.873022,1.09707,0.825064,1.08555,0.98889,0.989551,0.667864,0.883576,1.24791,0.815295,0.8741,0.898531,0.940638,0.815209,0.915084,1.12807,1.4497,-0.143371,0.496871,1.47232,1.2001,1.12969,1.1505,1.18405,1.1681,0.874471,0.725367,1.29864,1.35231,1.38711,1.04093,1.13794,1.16324,0.918462,1.00567,1.07145,1.28634,0.648941,1.1154,1.13954,0.76943,0.933093,0.973088,1.46786,1.29103,1.20357,0.851434,0.943055,1.47889,1.40645,1.38436,1.38566,1.16655,
2.105,1.03133,0.994395,0.735249,0.661828,0.735641,0.831363,0.878444,1.10756,1.24534,1.294,0.682229,0.678765,0.99039,0.932645,0.958001,0.955415,0.930895,0.803625,0.866423,0.906965,0.84075,0.895107,0.893726,1.11249,1.06767,0.890039,0.8708,1.09646,0.846533,1.0826,0.962541,0.978368,0.662088,0.883056,1.24839,0.81323,0.896339,0.922651,0.961949,0.815106,0.915118,1.12128,1.44142,-0.150735,0.493512,1.47562,1.22442,1.13566,1.15917,1.18254,1.1656,0.888814,0.739987,1.29231,1.34443,1.37701,1.05416,1.14011,1.15672,0.932257,1.01843,1.07993,1.29312,0.661839,1.11362,1.13786,0.778403,0.928119,0.985386,1.47656,1.29812,1.19434,0.876814,0.947306,1.47739,1.39117,1.37048,1.37124,1.17268,
2.11,1.02682,0.990473,0.733662,0.660443,0.732261,0.827288,0.860326,1.09526,1.24762,1.29574,0.680287,0.676514,0.969277,0.914445,0.959719,0.956727,0.929553,0.810685,0.872141,0.910216,0.847001,0.90198,0.902529,1.10099,1.06761,0.888265,0.86902,1.09573,0.867185,1.07925,0.926503,0.966074,0.65692,0.883324,1.24932,0.811164,0.919138,0.946988,0.983817,0.814993,0.915741,1.11141,1.43261,-0.158145,0.490287,1.47822,1.24706,1.14302,1.16753,1.18067,1.16267,0.902676,0.760894,1.28573,1.33648,1.36675,1.06615,1.14171,1.14906,0.944833,1.02994,1.08726,1.29923,0.674677,1.11156,1.13583,0.787503,0.922157,0.997298,1.4841,1.30448,1.18416,0.901503,0.953186,1.47582,1.37559,1.35595,1.35623,1.17646,
2.115,1.02186,0.986122,0.732231,0.659469,0.728943,0.822978,0.84146,1.08122,1.25009,1.29649,0.678215,0.67442,0.933499,0.893826,0.961769,0.95847,0.928735,0.818121,0.877872,0.912848,0.853162,0.908637,0.910752,1.08897,1.06726,0.886595,0.86767,1.09483,0.887202,1.07527,0.889828,0.95294,0.652651,0.884299,1.25053,0.809186,0.942156,0.9709,1.00621,0.814848,0.916845,1.10446,1.42347,-0.1656,0.487182,1.48004,1.26792,1.1509,1.17501,1.1785,1.15942,0.915893,0.781562,1.27898,1.32851,1.35627,1.07681,1.1426,1.1406,0.956089,1.04,1.09337,1.30462,0.687473,1.10932,1.13351,0.796638,0.915455,1.00866,1.4905,1.30999,1.1735,0.925454,0.960586,1.47424,1.35984,1.34097,1.34086,1.17833,
2.12,1.01634,0.981297,0.731077,0.659044,0.725718,0.818308,0.822185,1.06713,1.25249,1.29629,0.676112,0.672646,0.902112,0.870971,0.964221,0.960707,0.927371,0.825969,0.883594,0.91478,0.859242,0.915054,0.918346,1.07449,1.06656,0.885146,0.866742,1.09369,0.906863,1.07071,0.852585,0.939123,0.649537,0.885895,1.25184,0.807413,0.965303,0.994466,1.0288,0.814645,0.918314,1.09394,1.41409,-0.173103,0.484186,1.48106,1.28666,1.15837,1.18157,1.17612,1.15595,0.928583,0.802232,1.27207,1.32053,1.34573,1.08606,1.14274,1.13257,0.965944,1.0487,1.09824,1.3092,0.700138,1.10698,1.131,0.805747,0.908414,1.01956,1.4958,1.3146,1.16284,0.948754,0.968992,1.47271,1.34427,1.32601,1.32571,1.17833,
