time,synergy1,synergy2,synergy3,synergy4,
2.075,3.38645e-16,0.941339,2.01046e-07,0.0261053,
2.08,6.12859e-16,0.941339,2.01083e-07,0.0261053,
2.085,2.9298e-16,0.941339,2.01047e-07,0.0261053,
2.09,3.53943e-16,0.941339,2.01046e-07,0.0261053,
2.095,2.61928e-10,0.978477,0.027629,0.0096172,
2.1,2.30713e-09,0.996655,0.100977,4.42241e-28,
2.105,1.52229e-10,1,0.184521,5.60519e-45,
2.11,2.10944e-10,0.989871,0.277547,2.8026e-45,
2.115,2.23055e-09,0.967521,0.375105,2.8026e-45,
2.12,1.18619e-07,0.935214,0.470233,2.8026e-45,
2.125,5.2887e-05,0.894412,0.55825,2.8026e-45,
2.13,0.00693798,0.843892,0.633327,2.8026e-45,
2.135,0.0122944,0.787217,0.69798,2.8026e-45,
2.14,0.0175985,0.725708,0.750558,2.8026e-45,
2.145,0.0229019,0.661819,0.791545,2.8026e-45,
2.15,0.0281222,0.597918,0.82259,4.2039e-45,
2.155,0.0332115,0.536082,0.845538,4.2039e-45,
2.16,0.0381175,0.477663,0.862425,3.22189e-40,
2.165,0.0426599,0.423354,0.876397,5.71871e-31,
2.17,0.046504,0.373747,0.890693,1.89894e-22,
2.175,0.0491745,0.32958,0.907066,3.42965e-15,
2.18,0.0502102,0.291416,0.925834,1.15032e-09,
2.185,0.0493468,0.259309,0.9462,1.52644e-05,
2.19,0.045872,0.233023,0.965902,0.00114136,
2.195,0.0393061,0.211957,0.98167,0.00459802,
2.2,0.0309281,0.194984,0.99175,0.00891386,
2.205,0.0212305,0.180857,0.99639,0.0136821,
2.21,9.32308e-05,0.17083,1,0.0238539,
2.215,2.74234e-15,0.155945,0.99387,0.0238772,
2.22,5.11506e-26,0.140805,0.984786,0.0241772,
2.225,1.62894e-35,0.125257,0.973458,0.0251074,
2.23,8.40779e-45,0.109365,0.959786,0.027029,
2.235,7.00649e-45,0.0931976,0.942478,0.0303295,
2.24,7.00649e-45,0.0768812,0.920591,0.0353012,
2.245,7.00649e-45,0.060824,0.893981,0.0421757,
2.25,9.55083e-41,0.045718,0.8628,0.0511351,
2.255,1.52369e-20,0.0324331,0.826981,0.0623844,
2.26,0.0162702,0.0176951,0.781266,0.0683522,
2.265,0.0472938,1.96073e-20,0.728029,0.0703268,
2.27,0.0814776,8.8883e-41,0.657552,0.0726269,
2.275,0.124925,5.60519e-45,0.583043,0.0737967,
2.28,0.177452,4.2039e-45,0.505708,0.0739025,
2.285,0.238427,2.8026e-45,0.427016,0.07295,
2.29,0.306625,2.8026e-45,0.349141,0.0708889,
2.295,0.380175,2.8026e-45,0.274428,0.0676346,
2.3,0.456976,4.2039e-45,0.205326,0.0631604,
2.305,0.535116,4.2039e-45,0.144009,0.0575459,
2.31,0.612356,2.49011e-42,0.0924795,0.0510859,
2.315,0.686039,7.41763e-28,0.0526137,0.0443979,
2.32,0.754381,4.84099e-13,0.025076,0.0381757,
2.325,0.814484,0.00677591,0.00503997,0.0335267,
2.33,0.862584,0.0255879,2.38078e-06,0.0316248,
2.335,0.904061,0.046493,2.41008e-09,0.0323618,
2.34,0.939104,0.0690487,7.4514e-11,0.0365281,
2.345,0.96703,0.092316,2.90917e-11,0.0450408,
2.35,0.98675,0.115724,4.29586e-11,0.0591922,
2.355,0.997721,0.138547,1.3194e-10,0.0802339,
2.36,1,0.159437,9.12935e-10,0.109071,
2.365,0.99409,0.176394,2.52369e-08,0.146209,
2.37,0.979783,0.187224,3.73652e-06,0.192251,
2.375,0.956995,0.190145,0.00116772,0.247656,
2.38,0.924137,0.182445,0.0214737,0.31233,
2.385,0.881751,0.166032,0.0538498,0.385679,
2.39,0.830278,0.143613,0.09237,0.466327,
2.395,0.769443,0.118087,0.135433,0.552318,
2.4,0.699589,0.0924475,0.180671,0.640696,
2.405,0.622315,0.0689159,0.224806,0.72726,
2.41,0.540372,0.0490299,0.263994,0.807322,
2.415,0.457666,0.0335292,0.294351,0.87678,
2.42,0.378623,0.0223543,0.313587,0.932553,
2.425,0.306944,0.0151986,0.321583,0.972203,
2.43,0.244959,0.0116244,0.3195,0.994574,
2.435,0.194292,0.011046,0.308415,1,
2.44,0.156127,0.0131051,0.288842,0.989478,
2.445,0.130752,0.0176978,0.261248,0.964181,
2.45,0.11708,0.0246427,0.226802,0.926255,
2.455,0.113075,0.0335013,0.187484,0.878422,
2.46,0.116405,0.0436352,0.1458,0.823183,
2.465,0.12567,0.0542922,0.103763,0.762106,
2.47,0.139896,0.0648806,0.0628733,0.69675,
2.475,0.157964,0.0751626,0.0241862,0.628465,
2.48,0.177582,0.0834561,3.44531e-16,0.558483,
2.485,0.196483,0.0887726,6.87511e-32,0.488118,
2.49,0.215037,0.0953565,1.54143e-44,0.419141,
2.495,0.231632,0.104043,4.2039e-45,0.352692,
2.5,0.245327,0.115491,4.2039e-45,0.289639,
2.505,0.255359,0.130201,4.2039e-45,0.23077,
2.51,0.260934,0.148656,5.56672e-36,0.176846,
2.515,0.261126,0.171406,4.41091e-18,0.12857,
2.52,0.254855,0.198204,0.00539758,0.0863257,
2.525,0.238078,0.224786,0.0478187,0.0537336,
2.53,0.217715,0.25532,0.0952767,0.0262475,
2.535,0.195707,0.288968,0.146071,0.00485602,
2.54,0.165483,0.32629,0.197159,2.51687e-22,
